main_id otype_txt
"2MASSI J1323527-020101" Sy1
"2MASS J03233765+0035555" Sy1
"2MASS J03313161-0722162" Sy1
"2SLAQ J034007.62-004632.5" Sy1
"2SLAQ J034233.05-001448.4" Sy1
"2SLAQ J034326.51+003915.2" Sy1
"Mrk  739E" Sy1
"[VV2006] J073615.7+323026" Sy1
"2E  2598" Sy1
"2MASX J23433974+0245036" Sy1
"Ton S 180" Sy1
"2MASX J07454832+2848382" Sy1
"2MASS J09485730+0022261" Sy1
"2MASS J07463178+3545234" Sy1
"[VV2006] J084610.2+445150" Sy1
"IC 3599" Sy1
"2MASS J07492752+3042229" Sy1
"[VV2006] J075100.8+392327" Sy1
"2MASS J07510186+3356472" Sy1
"1RXS J075211.8+414257" Sy1
"[VV2006] J075350.9+221802" Sy1
"1RXS J231251.1+001733" Sy1
"SDSS J075433.59+401209.2" Sy1
"RX J2140.9+0025" Sy1
"2MASS J07561364+3915137" Sy1
"[VV2006] J075736.8+345327" Sy1
"SDSS J075935.65+402932.0" Sy1
"SDSS J132233.80+623511.3" Sy1
"SDSS J080306.76+302411.9" Sy1
"SDSS J080409.46+424921.1" Sy1
"2MASS J13431346+6541099" Sy1
"[VV2006] J080435.2+240525" Sy1
"SDSS J080439.54+315809.4" Sy1
"2MASS J08071092+2451055" Sy1
"[VV2006] J080916.4+252803" Sy1
"2MASS J22480432-1728306" Sy1
"2MASS J13041699+0205369" Sy1
"2MASX J12505105+0609105" Sy1
"LAMOST J081109.48+341943.3" Sy1
"SDSS J081206.67+394017.2" Sy1
"2MASS J08124960+4630509" Sy1
"2MASS J08125244+4023488" Sy1
"SDSS J133230.50+632803.8" Sy1
"SDSS J081622.78+322413.2" Sy1
"[VV2006] J081844.6+350426" Sy1
"2MASX J13343534+5750156" Sy1
"2MASX J13411287-1438407" Sy1
"IRAS 15091-2107" Sy1
"Mrk  896" Sy1
"2MASS J08250937+3022021" Sy1
"2QZ J133819.9-025251" Sy1
"[VV2006] J082804.8+362017" Sy1
"SDSS J082928.07+380521.6" Sy1
"2MASS J08445358+4257446" Sy1
"2MASS J08453328+4749345" Sy1
"SDSS J084744.55+442610.7" Sy1
"[VV2006] J085038.7+520145" Sy1
"2MASS J08545703+5448206" Sy1
"2MASX J08561940+5417562" Sy1
"[VV2003c] J082433.0+514123" Sy1
"SDSS J085931.24+561847.6" Sy1
"2MASS J09011783+0436560" Sy1
"[VV2006] J090625.0+033122" Sy1
"PB  1026" Sy1
"ICRF J150506.4+032630" Sy1
"2MASX J21415350+3151282" Sy1
"2MASS J10461372+5255544" Sy1
"2MASS J10454175+5202355" Sy1
"[VV2006] J105547.5+492950" Sy1
"2MASS J10555818+5523100" Sy1
"2MASSI J0914172+503427" Sy1
"1WGA J1148.5+4928" Sy1
"[VV98] J043938.7-531131" Sy1
"[VV2006] J125909.4+562019" Sy1
"2MASS J13414410+4901148" Sy1
"2MASS J13465914+5607036" Sy1
"2MASSI J1348210+500336" Sy1
"2MASX J13551655+5612451" Sy1
"2MASS J15183280+5154570" Sy1
"[VV2006] J092116.9+051015" Sy1
"2MASS J13282041+2409273" Sy1
"[VV2006] J140524.1+660018" Sy1
"2E  2128" Sy1
"2QZ J141007.1-012003" Sy1
"2MASS J09284517+3831134" Sy1
"2XMM J093353.4+472924" Sy1
"2MASS J09345770+4348419" Sy1
"2MFGC 1336" Sy1
"2MASS J09361223+5148102" Sy1
"2MASX J09370303+3615373" Sy1
"SDSS J094132.89+000731.0" Sy1
"[VV2006] J094133.6+070131" Sy1
"2MASS J03225551+0018595" Sy1
"2MASS J08460843+0642527" Sy1
"Ton  488" Sy1
"2MASS J10243472+5556262" Sy1
"2MASS J11204276+0841315" Sy1
"2MASS J11495497+0448129" Sy1
"2MASX J12022678-0129155" Sy1
"2MASX J12054816+5848149" Sy1
"2MASS J12140734+6552287" Sy1
"2MASS J12174575+0221097" Sy1
MCG+09-20-133 Sy1
"2MASS J12344094+6752140" Sy1
"2MASS J13100801+6341036" Sy1
"2MASS J13193573+0222230" Sy1
"2MASS J13431268+4713538" Sy1
"2MASX J14062191+2223462" Sy1
"2dFGRS TGN339Z212" Sy1
"2MASX J15560978+0309222" Sy1
"SDSS J224028.85-010649.9" Sy1
"2MASSI J0946110+322326" Sy1
"2MASS J09462126+4711312" Sy1
"2MASSI J0947045+472143" Sy1
"2MASS J09471257+1015211" Sy1
"[VV2006] J143406.7+531938" Sy1
"SDSS J143544.48+572427.6" Sy1
"CBS 278" Sy1
"2MASS J14394028+0305283" Sy1
"[VV2006] J095450.0+070445" Sy1
"Mrk  478" Sy1
"1RXS J172759.7+542146" Sy1
"[VV2006c] J000257.4-090015" Sy1
"2QZ J144621.2-022024" Sy1
"[VV2006c] J144701.0+504740" Sy1
"2MASS J00041080-1045271" Sy1
"2MASS J09582371+0112364" Sy1
"2MASS J14483770+0206281" Sy1
"[VV2006] J144908.3+520257" Sy1
"2MASS J13153587+1348563" Sy1
"LBQS 0006+0015" Sy1
"2MASS J14585786-0134194" Sy1
"SDSS J123536.02+384130.3" Sy1
