id redshift FUV FUV_err NUV NUV_err u_prime u_prime_err g_prime g_prime_err r_prime r_prime_err i_prime i_prime_err z_prime z_prime_err J_2mass J_2mass_err H_2mass H_2mass_err Ks_2mass Ks_2mass_err WISE1 WISE1_err IRAC1 IRAC1_err IRAC2 IRAC2_err WISE2 WISE2_err IRAC3 IRAC3_err IRAC4 IRAC4_err IRAS1 IRAS1_err WISE3 WISE3_err WISE4 WISE4_err MIPS1 MIPS1_err IRAS2 IRAS2_err IRAS3 IRAS3_err PACS_blue PACS_blue_err MIPS2 MIPS2_err IRAS4 IRAS4_err PACS_green PACS_green_err MIPS3 MIPS3_err PACS_red PACS_red_err PSW_ext PSW_ext_err PMW_ext PMW_ext_err PLW_ext PLW_ext_err
"1RXP J131831.5+332038" 0.536 nan nan nan nan 0.013300000318849925 0.0012 0.02409999979136046 0.0005 0.03099999958067201 0.0007999999999999999 0.05859999873791821 0.0012 0.08140000136336312 0.004 nan nan nan nan nan nan 0.3817916678781233 0.0229075000726874 nan nan nan nan 0.5369666692192356 0.03221800015315414 nan nan nan nan nan nan 0.8189583240135884 0.14322272768969746 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
"1RXP J131832.1+334146" 0.6529 nan nan nan nan 0.005309999778546626 0.0014500000000000001 0.011899999663000926 0.0006 0.01739999970595818 0.001 0.02789999962260481 0.0015 0.04949999856762588 0.0067 nan nan nan nan nan nan 0.2740976181083021 0.016445857086498122 nan nan nan nan 0.3995666644225518 0.024098443771181654 nan nan nan nan nan nan 1.1507500216783955 0.13427583871643664 3.5574999615643175 0.9655778252356928 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
"1RXS J075825.2+371840" 0.53551 nan nan 0.01895000013973913 0.0026925823 0.024349999572829496 0.001898025327049648 0.036124999496678356 0.0008874120103571338 0.035862499998984276 0.0011445522866082834 0.05206250079936581 0.001489127248080566 0.062106251334625995 0.004863640754822487 nan nan nan nan nan nan 0.23778333470861737 0.019691191779231877 0.22600000374950469 0.008 0.25400001322850585 0.013 0.2689999968018383 0.027227973791306984 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
"1RXS J093928.7+013205" 0.68882 nan nan nan nan 0.015233333215292078 0.004263801 0.03384999945410527 0.0021189620000000003 0.04059999946548487 0.0026981475 0.04717499950857018 0.0037603192999999995 0.06872499852761393 0.012988070999999999 nan nan nan nan nan nan 0.3629047598323031 0.021774285589938183 0.30499999411404133 0.01 0.3169999981764704 0.015000000000000001 0.34511904776007646 0.029575158847094368 nan nan nan nan nan nan 1.020499997179645 0.26817112190839193 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
"1RXS J113009.0+022659" 0.54267 nan nan nan nan nan nan 0.025793333122692275 0.0019945426 0.04113583323335964 0.0028838863 0.06652916673980751 0.004204854 0.10029999884864083 0.014842170000000002 nan nan nan nan 0.35700001171790063 0.087 0.9133333482572602 0.065658205 0.9599999757483602 0.028799999272450805 1.3800000306218863 0.04140000091865659 1.4711111240709822 0.11357816400000001 nan nan nan nan nan nan 2.5124999519903213 0.4227292000000001 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
"1RXS J123453.3-012555" 0.51279 nan nan 0.03426666808081791 0.009127979000000001 0.017100000036407437 0.002165063373242513 0.023692856952298568 0.0010295629797237465 0.031014285793519645 0.0017313290496114026 0.050571427761626965 0.0026556542981909844 0.059707144048713544 0.0075756188160565644 nan nan nan nan nan nan 0.5045099972645984 0.030270599835875905 nan nan nan nan 0.576874998657033 0.044013605226821635 nan nan nan nan nan nan 1.7380952331592283 0.3109923639703472 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
"1RXS J135136.7+632148" 0.8071 nan nan nan nan nan nan 0.01566666696817265 0.0011874342 0.019699999938893598 0.001469694 0.025933333139012877 0.0022090721000000003 0.047816666362147466 0.010458489999999999 nan nan nan nan 0.25499999173916876 0.061 0.3834233311514447 0.023005399869086684 nan nan nan nan 0.5511666619688687 0.03306999971813212 nan nan nan nan nan nan 1.1438750040158632 0.1687601860235382 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
"1RXS J150015.4+322946" 0.57603 nan nan 0.01049999991664663 0.0022 0.015437499882864358 0.002658947 0.024742857151847732 0.0013638181 0.02948571454908233 0.0016673332 0.04340000045236333 0.0026457512 0.056657141872814724 0.00950421 nan nan nan nan nan nan 0.23293333420693588 0.014000343693674987 nan nan nan nan 0.19889583435004657 0.023901918721100947 nan nan nan nan nan nan 0.5063928645217259 0.13811090117119973 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
"1RXS J160630.9+371335" 0.6769 nan nan 0.058149999858869705 0.009214662 0.02511111132561281 0.0048394213000000005 0.043562499740801286 0.0021 0.04362499930721242 0.0024859605 0.043162500332982745 0.0029478803999999996 0.04771250041812891 0.010326180999999999 nan nan nan nan 0.2789999998640269 0.06999999999999999 0.26433636528302235 0.024851759 0.30499999411404133 0.00914999982342124 0.3809999907389283 0.012 0.3945000091334805 0.037629776 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
"1WGA J1132.7+6553" 0.53508 nan nan nan nan 0.022800000238021312 0.0021077239308719786 0.034203572405593664 0.0011521718542917806 0.03317857057741743 0.0013341664338723269 0.043571428769999844 0.0020838665291938083 0.04083571405187416 0.006675327459709673 nan nan nan nan nan nan 0.14387500050361268 0.017175566 0.15199999324977398 0.006000000000000001 0.17299999308306724 0.009000000000000001 0.17612499868846498 0.026514146 nan nan nan nan nan nan nan nan 2.6199999265372753 0.15719999559223652 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
