Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 0.000670000008540228 2.6172505e-05
GALEX:NUV 0.23119646641474512 0.0014400000218302011 2.828427e-05
SDSS:u' 0.3519021246126397 0.003100000089034438 1.4142135e-05
SDSS:g' 0.48199694202385923 0.003793333346645037 0.00041024384
SDSS:r' 0.6246977662012919 0.005110000104953845 5.196152e-05
SDSS:i' 0.7634912086792646 0.007990000148614248 0.00053169543
SDSS:z' 0.9017941824088558 0.007400000002235174 4.2426407e-05
SDSS:u 0.3519021246126397 0.0035099999513477087 6.0827624e-05
SDSS:g 0.48199694202385923 0.004385000094771385 7.071068e-05
SDSS:r 0.6246977662012919 0.005610000109300017 3.1622778e-05
SDSS:i 0.7634912086792646 0.008754999842494726 0.00021213203
SDSS:z 0.9017941824088558 0.007555000018328428 0.000114017545
2MASS:J 1.239016606050587 0.01080000028014183 0.0005656854
2MASS:H 1.649477072902339 0.01640000008046627 0.0014142137
2MASS:Ks 2.1637853338145083 0.026499999687075615 0.0014142137
WISE:W1 3.350010705106716 0.03666666646798452 0.0019595919
WISE:W2 4.600019302768061 0.048566666742165886 0.0022472206
WISE:W3 11.559823320737253 0.08521666377782822 0.0031843367
WISE:W4 22.09066818952177 0.24280000030994414 0.011180339
:=1.4GHz 214137.47000000003 0.01080000028014183 0.0001
