Filter Wave Flux F_er
GALEX:NUV 0.23119646641474512 9.060000138561008e-06 3.5151813e-06
SDSS:u 0.3519021246126397 1.3300000318849925e-05 1.2e-06
SDSS:g 0.48199694202385923 2.409999979136046e-05 5e-07
SDSS:r 0.6246977662012919 3.099999958067201e-05 8e-07
SDSS:i 0.7634912086792645 5.859999873791821e-05 1.2e-06
SDSS:z 0.9017941824088558 8.140000136336312e-05 4e-06
WISE:W1 3.350010705106716 0.00033491666908957995 2.2717615e-05
WISE:W2 4.600019302768061 0.0005266000051051378 3.144837e-05
WISE:W3 11.559823320737255 0.00084224998136051 0.00019757783
"W1 (WISE)" 3.3533831991051453 0.0004286666666666666 2.633286919422189e-05
"W2 (WISE)" 4.60510688172043 0.0005473333333333334 3.920471910369975e-05
"W3 (WISE)" 11.574998378378377 0.0007956666666666667 0.00020739816778361377
