Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 3.5650000427267514e-05 2.3430748e-06
GALEX:NUV 0.23119646641474512 3.2750000173109584e-05 1.640122e-06
SDSS:u 0.3519021246126397 6.510000093840063e-05 4.9e-06
SDSS:g 0.48199694202385923 0.00012599999899975955 2e-06
SDSS:r 0.6246977662012919 0.00032900000223889947 3e-06
SDSS:i 0.7634912086792645 0.0005089999758638442 4e-06
SDSS:z 0.9017941824088558 0.0006399999838322401 1.4e-05
2MASS:J 1.239016606050587 0.00036700000055134296 0.00012445079
2MASS:H 1.6494770729023387 0.0006009999779053032 0.00020364676
2MASS:Ks 2.1637853338145083 0.0008040000102482736 0.00023282612
WISE:W1 3.350010705106716 0.0006781666686745464 4.7960923e-05
WISE:W2 4.600019302768061 0.0009381428577138909 5.9008475e-05
WISE:W3 11.559823320737255 0.002442000014707446 0.00027367866
WISE:W4 22.09066818952177 0.005769999930635095 0.0019811613
"W1 (WISE)" 3.3533831991051453 0.0009750000000000001 2.9882436312991616e-05
"W2 (WISE)" 4.60510688172043 0.0009633333333333334 4.497410365977292e-05
"W3 (WISE)" 11.574998378378377 0.0029533333333333334 0.0004310927974346127
"W4 (WISE)" 22.0435630882353 0.0070933333333333334 0.002287290974056427
