Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 4.293999954825267e-05 1.1003636e-05
GALEX:NUV 0.23119646641474514 6.000000212225132e-05 9.034378e-06
SDSS:u' 0.3519021246126397 0.00013000000035390258 3e-06
SDSS:g' 0.48199694202385923 0.00014899999951012433 3e-06
SDSS:r' 0.6246977662012919 0.00019099999917671084 2e-06
SDSS:i' 0.7634912086792646 0.00020700000459328294 3e-06
SDSS:z' 0.9017941824088558 0.00024399999529123306 6e-06
SDSS:u 0.3519021246126396 0.00013044444171504842 7.937254e-06
SDSS:g 0.48199694202385934 0.0001491250040999148 5.5677647e-06
SDSS:r 0.6246977662012919 0.00019012500160897616 5.5677647e-06
SDSS:i 0.7634912086792643 0.0002094999981636647 7.874008e-06
SDSS:z 0.901794182408856 0.00024287499581987504 1.5811389e-05
2MASS:J 1.239016606050587 0.00021499999274965376 8.4852814e-05
:=3.6um 3.599986286565157 0.00043899999582208693 1.3e-05
:=4.5um 4.499969349004068 0.0005869999877177179 1.8e-05
WISE:W1 3.3500107051067167 0.00041699999807557714 4.239104e-05
WISE:W2 4.600019302768061 0.0006235833328294879 6.888396e-05
WISE:W3 11.559823320737253 0.001377272694794969 0.00041940433
WISE:W4 22.090668189521775 0.004901999980211258 0.0028262874
