Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 4.8100001246590786e-05 6.7357255e-06
GALEX:NUV 0.23119646641474512 5.560000014763015e-05 5.076416e-06
SDSS:u' 0.3519021246126397 6.600000051548705e-05 3.1e-06
SDSS:g' 0.48199694202385923 9.239999781129882e-05 1.1e-06
SDSS:r' 0.6246977662012919 0.00015199999324977398 2e-06
SDSS:i' 0.7634912086792645 0.00019799999427050352 2e-06
SDSS:z' 0.9017941824088558 0.00026599998818710446 1e-05
SDSS:u 0.3519021246126397 3.452499834111222e-05 3.720699e-06
SDSS:g 0.48199694202385923 5.889999920327682e-05 1.4866068e-06
SDSS:r 0.6246977662012919 0.00011764999726437964 2.5e-06
SDSS:i 0.7634912086792643 0.00016450000111944973 2.8284271e-06
SDSS:z 0.9017941824088558 0.00021749999723397195 1.3453624e-05
2MASS:H 1.6494770729023387 0.00033599999733269215 0.00021187261
2MASS:Ks 2.1637853338145083 0.0006040000007487833 0.00022627416
WISE:W1 3.350010705106716 0.0006652222073171288 4.7812133e-05
WISE:W2 4.600019302768061 0.0007293333247717884 5.9958318e-05
WISE:W3 11.559823320737253 0.0034271429425903727 0.00032233525
WISE:W4 22.090668189521775 0.009928571725530284 0.0025357446
