Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 3.509999987727497e-05 8.8e-06
GALEX:NUV 0.23119646641474512 3.690000085043721e-05 7.1007044e-06
SDSS:u' 0.3519021246126397 4.020000051241368e-05 1.4e-06
SDSS:g' 0.48199694202385923 4.8400001105619594e-05 6e-07
SDSS:r' 0.6246977662012919 6.540000322274864e-05 8e-07
SDSS:i' 0.7634912086792645 9.449999924981967e-05 1.3e-06
SDSS:z' 0.9017941824088558 9.439999848837033e-05 3.4e-06
SDSS:u 0.3519021246126397 3.6299999919719994e-05 1.6970564e-06
SDSS:g 0.4819969420238593 4.2350000512669794e-05 1.2529964e-06
SDSS:r 0.6246977662012919 5.945000157225877e-05 1.3601469e-06
SDSS:i 0.7634912086792643 8.57499981066212e-05 2e-06
SDSS:z 0.9017941824088558 8.474999776808545e-05 4.3931764e-06
:=3.6um 3.599986286565157 0.00023700000019744039 7e-06
:=4.5um 4.499969349004068 0.00030399998649954796 1.1e-05
WISE:W1 3.350010705106716 0.0002338571399117687 1.9026298e-05
WISE:W2 4.600019302768061 0.0003315714296020035 3.3361655e-05
WISE:W3 11.559823320737253 0.0006769999939327439 0.0002976441
WISE:W4 22.09066818952177 0.0019000000320374966 0.0011313708
