Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 0.0005249999812804163 2.5e-05
GALEX:NUV 0.23119646641474512 0.0008660000166855752 5e-06
SDSS:u' 0.3519021246126397 0.003120000008493662 1e-05
SDSS:g' 0.48199694202385923 0.0032450000289827585 0.0011000454
SDSS:r' 0.6246977662012919 0.003554999944753945 0.0010100496
SDSS:i' 0.7634912086792645 0.006580000044777989 0.00071028166
SDSS:z' 0.9017941824088558 0.0059899999760091305 2e-05
SDSS:u 0.3519021246126397 0.0031500000040978193 5.7445624e-05
SDSS:g 0.4819969420238593 0.0035500000230968 5.099019e-05
SDSS:r 0.6246977662012919 0.003714999998919666 6.0827624e-05
SDSS:i 0.7634912086792643 0.005929999984800816 0.0001118034
SDSS:z 0.9017941824088558 0.0052900000009685755 9.219545e-05
2MASS:J 1.239016606050587 0.006680000107735395 0.0005630275
2MASS:H 1.6494770729023385 0.01080000028014183 0.00094868336
2MASS:Ks 2.1637853338145083 0.017799999564886093 0.0008485282
WISE:W1 3.3500107051067167 0.02802222263481882 0.0018000001
WISE:W2 4.600019302768061 0.036255555434359446 0.0021
WISE:W3 11.559823320737255 0.07729999721050262 0.0030000003
WISE:W4 22.09066818952177 0.23675000295042992 0.014142135
IRAS:12 11.590213330240468 0.08990000188350677 0.0198
IRAS:25 23.88023402899474 0.2770000100135803 0.028
IRAS:60 61.849860328856415 0.3089999854564667 0.034
IRAS:100 101.94941780588995 0.4790000021457672 0.105
:=1.4GHz 214137.47 0.0017099999822676182 0.00014
