Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 0.000155999994603917 1.3e-05
GALEX:NUV 0.23119646641474512 0.00019099999917671084 1e-05
SDSS:g' 0.48199694202385923 0.0007580000092275441 6e-06
SDSS:r' 0.6246977662012919 0.000990999978967011 0.000276
2MASS:J 1.239016606050587 0.0015571428063724721 0.00026570662
2MASS:H 1.6494770729023387 0.002287142777017185 0.00033466402
2MASS:Ks 2.1637853338145083 0.0033599999733269215 0.00036742346
WISE:W1 3.3500107051067163 0.005605999939143657 0.0002222611
WISE:W2 4.600019302768061 0.00672600008547306 0.00024269322
WISE:W3 11.559823320737257 0.01353333331644535 0.00051961525
WISE:W4 22.090668189521768 0.03196666700144609 0.002251666
"W1 (WISE)" 3.3533831991051453 0.005933333333333333 0.00013719435119566694
"W2 (WISE)" 4.60510688172043 0.007043333333333333 0.0001522146182204587
"W3 (WISE)" 11.574998378378377 0.014733333333333333 0.0004256641868891486
"W4 (WISE)" 22.0435630882353 0.03056666666666667 0.0025140604606890423
