Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 6.230000053619733e-06 2.48e-06
GALEX:NUV 0.23119646641474512 6.190000021888409e-06 2.7376634e-06
SDSS:u 0.3519021246126397 3.336666607841229e-05 4.745524e-06
SDSS:g 0.48199694202385923 0.00017600000622527054 2.4494898e-06
SDSS:r 0.6246977662012919 0.00043566666621093947 4.1231056e-06
SDSS:i 0.7634912086792645 0.000705333329581966 6.928203e-06
SDSS:z 0.9017941824088558 0.0009249999808768431 1.6340135e-05
2MASS:J 1.239016606050587 0.0007959999909092273 0.00016193825
2MASS:H 1.6494770729023385 0.0011142856840576445 0.00024677927
2MASS:Ks 2.1637853338145083 0.0012400000123307109 0.0002204541
WISE:W1 3.350010705106716 0.0010611666803015396 6.020797e-05
WISE:W2 4.600019302768061 0.0012820000083593186 8.084553e-05
WISE:W3 11.559823320737255 0.0023975000949576497 0.00032
WISE:W4 22.090668189521768 0.007296666658173005 0.0017668616
:=1.4GHz 214137.47000000003 0.0012700000079348683 0.00017
