Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 6.009999924572185e-05 8.34386e-06
GALEX:NUV 0.23119646641474512 0.00011100000119768083 8.485282e-06
SDSS:u' 0.3519021246126397 0.00013800000306218863 2e-06
SDSS:g' 0.48199694202385923 0.00017299999308306724 1e-06
SDSS:r' 0.6246977662012919 0.00016500000492669642 1e-06
SDSS:i' 0.7634912086792645 0.00023799999326001853 2e-06
SDSS:z' 0.9017941824088558 0.000295000005280599 5e-06
SDSS:u 0.35190212461263964 0.00011711111276074209 8.42615e-06
SDSS:g 0.48199694202385934 0.00015224999879137613 9.949875e-06
SDSS:r 0.6246977662012919 0.0001478750036767451 5.385165e-06
SDSS:i 0.7634912086792645 0.00021374999960244168 1.3379087e-05
SDSS:z 0.901794182408856 0.00027349999800208025 1.9697716e-05
2MASS:J 1.239016606050587 0.00034327271913008934 0.0001516674
2MASS:H 1.649477072902339 0.00041709091800095683 0.00019538168
2MASS:Ks 2.1637853338145083 0.0005103333258173532 0.00024866845
:=3.6um 3.599986286565157 0.000838999985717237 2.1e-05
:=4.5um 4.499969349004068 0.0012199999764561653 3e-05
WISE:W1 3.3500107051067167 0.0007883333407031993 6.783804e-05
WISE:W2 4.600019302768061 0.0013116666620286803 0.0001161895
WISE:W3 11.559823320737253 0.0035318181934681806 0.0005264979
WISE:W4 22.09066818952177 0.009998000040650368 0.0034577306
:=1.4GHz 214137.47000000003 0.0016899999463930726 0.00014
