Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 3.5850001040671486e-05 1.1555951e-05
GALEX:NUV 0.23119646641474514 4.1074998989643063e-05 4.736032e-06
SDSS:u' 0.3519021246126397 7.999999797903001e-05 1.8e-06
SDSS:g' 0.48199694202385923 7.449999975506216e-05 9e-07
SDSS:r' 0.6246977662012919 0.00010299999848939478 2e-06
SDSS:i' 0.7634912086792645 0.00012099999730708078 3e-06
SDSS:z' 0.9017941824088558 0.00020399999630171806 5e-06
SDSS:u 0.3519021246126397 7.823333241200696e-05 4.2059482e-06
SDSS:g 0.48199694202385923 7.519999926444143e-05 2.0124612e-06
SDSS:r 0.6246977662012919 0.00010379999876022338 4.472136e-06
SDSS:i 0.7634912086792645 0.00012159999751020223 6.708204e-06
SDSS:z 0.9017941824088558 0.00020760000334121286 1.118034e-05
2MASS:J 1.239016606050587 0.0003602500049358544 0.00016656831
2MASS:H 1.649477072902339 0.0006434999813791364 0.00027570454
2MASS:Ks 2.1637853338145083 0.0006661999796051532 0.00022643762
WISE:W1 3.3500107051067163 0.000944000028539449 6.957011e-05
WISE:W2 4.600019302768061 0.001032727273096415 6.403124e-05
WISE:W3 11.559823320737253 0.0018919999711215496 0.00027239678
WISE:W4 22.09066818952177 0.004089999943971634 0.0017704519
Spitzer/MIPS:24 23.674678828081813 0.0035800000187009573 3e-05
Spitzer/MIPS:70 71.41996807699637 0.010900000110268593 0.0011
Spitzer/MIPS:160 155.8983140925637 0.02930000051856041 0.001
Herschel/SPIRE:250 249.99371080720482 0.05220000073313713 0.006432729
Herschel/SPIRE:350 362.9976001356129 0.026000000536441803 0.00664906
