Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 3.862500125251245e-05 9.850381e-06
GALEX:NUV 0.23119646641474514 5.1700000767596066e-05 7.701948e-06
SDSS:u 0.3519021246126397 0.00010365000071033137 5.6568542e-06
SDSS:g 0.4819969420238593 0.00013185714695802226 7.937255e-06
SDSS:r 0.6246977662012919 0.00017000000350110765 7.937255e-06
SDSS:i 0.7634912086792643 0.00020842856819009676 1.0583005e-05
SDSS:z 0.9017941824088558 0.00022857142695491866 1.3228757e-05
2MASS:J 1.239016606050587 0.0003000000142492354 0.00017392528
2MASS:H 1.6494770729023387 0.0006639999919570982 0.00021187261
2MASS:Ks 2.1637853338145083 0.0008440000237897038 0.00035638182
WISE:W1 3.3500107051067167 0.0008598571585025638 7.480641e-05
WISE:W2 4.600019302768061 0.00118785714896928 0.000108627806
WISE:W3 11.559823320737253 0.002955833294739326 0.0004451966
WISE:W4 22.090668189521775 0.00809454545378685 0.003030726
"W1 (WISE)" 3.3533831991051453 0.0008856666666666667 2.7098385560767267e-05
"W2 (WISE)" 4.60510688172043 0.0011799999999999998 5.632175423404353e-05
"W3 (WISE)" 11.574998378378377 0.0031433333333333335 0.00034224844776857647
"W4 (WISE)" 22.0435630882353 0.00776 0.0019588047375887164
