Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 1.7675000435701804e-05 4.7434164e-06
GALEX:NUV 0.23119646641474514 2.307499971720972e-05 4.1388403e-06
SDSS:u 0.3519021246126397 6.05714282885726e-05 5.990826e-06
SDSS:g 0.48199694202385934 6.730000010672181e-05 2.2737634e-06
SDSS:r 0.6246977662012919 8.523333478175725e-05 4.1231056e-06
SDSS:i 0.7634912086792643 0.00010573333323312302 4.660472e-06
SDSS:z 0.9017941824088558 0.00018566666403785348 1.4142135e-05
2MASS:J 1.239016606050587 0.0002712307659049447 0.0001406165
2MASS:H 1.649477072902339 0.0003383846062486275 0.00023769098
2MASS:Ks 2.1637853338145083 0.0005023999896366149 0.00024634326
WISE:W1 3.3500107051067167 0.0003589999929924185 3.724245e-05
WISE:W2 4.600019302768061 0.0004153333381206418 5.612486e-05
WISE:W3 11.559823320737253 0.0007413999876007438 0.00045052415
"W1 (WISE)" 3.3533831991051453 0.000373 3.43794997054931e-05
"W2 (WISE)" 4.60510688172043 0.00041200000000000004 4.285020420021356e-05
"W3 (WISE)" 11.574998378378377 0.0008475 0.00031542510997065534
"W4 (WISE)" 22.0435630882353 0.00258 0.00106
