Filter Wave Flux F_er
2MASS:J 1.239016606050587 0.0010554545707154002 0.00024372115
2MASS:H 1.649477072902339 0.0012154545402154326 0.00030133038
2MASS:Ks 2.1637853338145083 0.0018759999773465097 0.0003398529
:=3.6um 3.599986286565157 0.0019000000320374966 0.00019798991
:=4.5um 4.499969349004068 0.002570000011473894 0.00016970563
:=5.8um 5.800039815817985 0.0034799999557435513 0.00012727923
:=8um 8.00001222180712 0.005140000022947788 0.00019798991
WISE:W1 3.350010705106716 0.0023575000232085586 0.00010816653
WISE:W2 4.600019302768061 0.002885999996215105 0.0001086278
WISE:W3 11.559823320737255 0.007993333507329226 0.0002915476
WISE:W4 22.09066818952177 0.03420000150799751 0.0019209373
Spitzer/MIPS:24 23.674678828081813 0.03335000015795231 0.0005
Spitzer/MIPS:70 71.41996807699637 0.1080000028014183 0.003
Herschel/PACS:100 100.00081990726842 0.09700000286102295 0.017
Herschel/PACS:160 160.0002444361424 0.07400000095367432 0.014
Herschel/SPIRE:250 249.99371080720482 0.06360000371932983 0.0049
Herschel/SPIRE:350 362.9976001356129 0.02969999983906746 0.004
"W1 (WISE)" 3.3533831991051453 0.0024633333333333334 0.0006261282696061566
"W2 (WISE)" 4.60510688172043 0.0028033333333333335 0.0002926561292711978
"W3 (WISE)" 11.574998378378377 0.009 0.0002450816190578151
"W4 (WISE)" 22.0435630882353 0.033400000000000006 0.0016755846740764849
"3.6 microns (IRAC)" 3.5520433412322276 0.0021466666666666665 0.00022515000555185425
"4.5 microns (IRAC)" 4.494639550224888 0.0027549999999999996 5.809483625934408e-06
"5.8 microns (IRAC)" 5.732169369024856 0.00348 1.9091883092036783e-05
"8.0 microns (IRAC)" 7.86856845144357 0.005325 1.801610390733801e-05
"24 microns (MIPS)" 23.60570535433071 0.032549999999999996 0.00011929199470207546
