Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 0.00010739999997895211 1.34164075e-05
GALEX:NUV 0.23119646641474514 0.00012979999592062087 1.077033e-05
SDSS:u' 0.3519021246126397 0.0001849999971454963 3e-06
SDSS:g' 0.48199694202385923 0.0002099999983329326 1e-06
SDSS:r' 0.6246977662012919 0.00029600001289509237 2e-06
SDSS:i' 0.7634912086792645 0.00041000000783242285 3e-06
SDSS:z' 0.9017941824088558 0.00042799999937415123 8e-06
SDSS:u 0.35190212461263964 0.00014214285641043846 1.2409673e-05
SDSS:g 0.48199694202385934 0.00016550000388330469 6.7823303e-06
SDSS:r 0.6246977662012919 0.0002208333316957578 9.643651e-06
SDSS:i 0.7634912086792643 0.00031049999718864757 1.3747727e-05
SDSS:z 0.9017941824088559 0.0003188333406190698 3.693237e-05
2MASS:J 1.239016606050587 0.0005263846072081763 0.00019137397
2MASS:H 1.6494770729023385 0.0006826923345215619 0.00021245235
2MASS:Ks 2.1637853338145083 0.000980909114745869 0.0003180959
WISE:W1 3.3500107051067167 0.0009454166793148033 7.17635e-05
WISE:W2 4.600019302768061 0.0011079166336761166 9.558242e-05
WISE:W3 11.559823320737255 0.003905000165104866 0.0004753946
WISE:W4 22.09066818952177 0.010703000240027905 0.0031157664
"W1 (WISE)" 3.3533831991051453 0.0012633333333333333 4.196200662504118e-05
"W2 (WISE)" 4.60510688172043 0.001386666666666667 5.066912274748794e-05
"W3 (WISE)" 11.574998378378377 0.004803333333333334 0.00029835046505745556
"W4 (WISE)" 22.0435630882353 0.011353333333333335 0.001861972341362782
