Filter Wave Flux F_er
SDSS:u 0.3519021246126397 0.001392499980283901 5.099019e-05
SDSS:g 0.4819969420238593 0.0014842857074524676 5e-05
SDSS:r 0.6246977662012919 0.001660000000681196 5e-05
SDSS:i 0.7634912086792645 0.002907142841390201 9.848858e-05
SDSS:z 0.9017941824088558 0.00250857143795916 0.0001
2MASS:J 1.239016606050587 0.00410333334778746 0.00044966655
2MASS:H 1.6494770729023385 0.006489333448310693 0.00071805296
2MASS:Ks 2.163785333814508 0.010291666879008213 0.0006928203
WISE:W1 3.350010705106716 0.013121428766420909 0.0011
WISE:W2 4.600019302768061 0.016907691669005614 0.0010440307
WISE:W3 11.559823320737253 0.03629166694978873 0.002034699
WISE:W4 22.090668189521775 0.10750000178813934 0.009110434
IRAS:12 11.59021333024047 0.08529999852180481 0.0171
IRAS:25 23.880234028994742 0.11900000274181366 0.017
IRAS:60 61.84986032885642 0.13199999928474426 0.034
IRAS:100 101.94941780588996 0.640999972820282 0.122
:=1.4GHz 214137.47 0.0030399999814108014 0.00061392185
"W1 (WISE)" 3.3533831991051453 0.013066666666666666 0.00029687898207855675
"W2 (WISE)" 4.60510688172043 0.016766666666666666 0.00033820600231220026
"W3 (WISE)" 11.574998378378377 0.03763333333333333 0.0007151279605776857
"W4 (WISE)" 22.0435630882353 0.10103333333333332 0.003512506227752486
"25 microns (IRAS)" 24.982704833333333 0.12 0.0119
"60 microns (IRAS)" 59.958491599999995 0.132 0.0342
1.4GHz 214137.47 0.002955 0.0006143484353361698
