Filter Wave Flux F_er
SDSS:u 0.3519021246126397 3.525000010995427e-05 4.5e-06
SDSS:g 0.48199694202385923 0.00013932500041846652 3.5383612e-06
SDSS:r 0.6246977662012919 0.00034258750110893743 5.418487e-06
SDSS:i 0.7634912086792645 0.0005303750040184241 7.071068e-06
SDSS:z 0.9017941824088559 0.0007288888931119194 1.7663522e-05
2MASS:J 1.239016606050587 0.0007036000024527311 0.00014849915
2MASS:H 1.649477072902339 0.0009216000093147158 0.00023345235
2MASS:Ks 2.163785333814508 0.0009529999806545675 0.00020571826
WISE:W1 3.3500107051067163 0.0007825999986380338 3.5763107e-05
WISE:W2 4.600019302768061 0.0004992000060155988 3.552464e-05
WISE:W3 11.559823320737257 0.0010299999654913943 0.00027820855
WISE:W4 22.090668189521768 0.003120000008493662 0.00101
"W1 (WISE)" 3.3533831991051453 0.0009466666666666667 4.09380019053202e-05
"W2 (WISE)" 4.60510688172043 0.0005586666666666666 5.480638648916749e-05
"W3 (WISE)" 11.574998378378377 0.0012100000000000001 0.00041882096413622846
