Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 4.164999882050324e-05 8.872993e-06
GALEX:NUV 0.23119646641474512 7.02500001352746e-05 8.464632e-06
SDSS:u 0.3519021246126397 0.00016500000492669642 5e-06
SDSS:g 0.48199694202385923 0.0005050000036135316 3e-06
SDSS:r 0.6246977662012919 0.0009350000182166696 4e-06
SDSS:i 0.7634912086792645 0.00139999995008111 1e-05
SDSS:z 0.9017941824088558 0.0017500000540167093 1e-05
2MASS:J 1.239016606050587 0.0010425000121661772 0.00017697457
2MASS:H 1.6494770729023385 0.0012966666448240478 0.0002634388
2MASS:Ks 2.1637853338145083 0.001449999981559813 0.0002204541
WISE:W1 3.3500107051067163 0.0017800000496208668 8e-05
WISE:W2 4.600019302768061 0.001863999990746379 9.110433e-05
WISE:W3 11.559823320737255 0.004870000062510371 0.00036055513
WISE:W4 22.09066818952177 0.009360000025480986 0.002267157
"W1 (WISE)" 3.3533831991051453 0.0019133333333333335 4.7969260990763656e-05
"W2 (WISE)" 4.60510688172043 0.0019466666666666666 7.051304843786007e-05
"W3 (WISE)" 11.574998378378377 0.005540000000000001 0.0003835700718252142
"W4 (WISE)" 22.0435630882353 0.01017 0.002537301716390859
