Filter Wave Flux F_er
GALEX:FUV 0.15290072831131743 6.867999945825431e-06 4.221564e-06
GALEX:NUV 0.23119646641474517 1.2959999912709463e-05 4.3474133e-06
SDSS:u' 0.3519021246126397 9.010000212583691e-05 4.1e-06
SDSS:g' 0.48199694202385923 0.00016700000560376793 2e-06
SDSS:r' 0.6246977662012919 0.00042100000428035855 3e-06
SDSS:i' 0.7634912086792645 0.0007259999983943999 4e-06
SDSS:z' 0.9017941824088558 0.0009159999899566174 1.1e-05
SDSS:u 0.35190212461263964 5.9999999575666155e-05 7.0618694e-06
SDSS:g 0.4819969420238592 0.0001179230754272654 7.2415464e-06
SDSS:r 0.6246977662012919 0.00028923077423734445 9.165151e-06
SDSS:i 0.7634912086792646 0.0004908461560262367 1.8165902e-05
SDSS:z 0.9017941824088562 0.0006373571502211105 2.3937419e-05
2MASS:J 1.239016606050587 0.0010626667101557056 0.00028035694
2MASS:H 1.6494770729023385 0.0013266667102773985 0.0003686462
2MASS:Ks 2.1637853338145083 0.001610000035725534 0.00034785055
:=3.6um 3.599986286565157 0.001290000043809414 1e-05
:=4.5um 4.499969349004068 0.0011099999537691474 1e-05
WISE:W1 3.350010705106716 0.0011022143007721752 9.756024e-05
WISE:W2 4.600019302768061 0.0010918461529609675 9.6669544e-05
WISE:W3 11.559823320737253 0.0020060000475496053 0.0004816638
WISE:W4 22.09066818952177 0.005572999874129891 0.0030923295
"W1 (WISE)" 3.3533831991051453 0.001423333333333333 3.706116565894818e-05
"W2 (WISE)" 4.60510688172043 0.0010459999999999998 6.887648365008191e-05
"W3 (WISE)" 11.574998378378377 0.0020199999999999997 0.0004036669419211833
"W4 (WISE)" 22.0435630882353 0.00426 0.0024792337525937325
