Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 0.00016199999663513154 1.1e-05
GALEX:NUV 0.23119646641474512 0.00036299999919719994 1e-05
SDSS:g' 0.48199694202385923 0.0018899999558925629 0.00013
SDSS:r' 0.6246977662012919 0.0022100000642240047 0.00017
2MASS:J 1.239016606050587 0.003909999970346689 0.00034176014
2MASS:H 1.6494770729023385 0.004769999999552965 0.00056921004
2MASS:Ks 2.1637853338145083 0.006769999861717224 0.00067896984
WISE:W1 3.3500107051067167 0.012591666541993618 0.001
WISE:W2 4.600019302768061 0.020191666204482317 0.0013304134
WISE:W3 11.559823320737255 0.07122999876737594 0.0031953093
WISE:W4 22.09066818952177 0.2031999945640564 0.015524175
:=1.4GHz 214137.47000000003 0.0342666661987702 0.0017916473
"2-10 keV (XMM)" 0.00020675341931034483 3.76e-07 1.17e-08
"0.5-2 keV (XMM)" 0.0009926902582781457 1.42e-06 5.96e-08
"W1 (WISE)" 3.3533831991051453 0.012533333333333334 0.0002840510869544421
"W2 (WISE)" 4.60510688172043 0.020266666666666665 0.00042186372207147653
"W3 (WISE)" 11.574998378378377 0.07516666666666667 0.0012870104894677431
"W4 (WISE)" 22.0435630882353 0.19133333333333333 0.005363935122650161
"25 microns (IRAS)" 24.982704833333333 0.241 0.0327
"60 microns (IRAS)" 59.958491599999995 0.821 0.131
"100 microns (IRAS)" 99.93081933333333 1.45 0.202
1.4GHz 214137.47 0.0342 0.0014
