Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 0.0010900000343099236 5.656854e-05
GALEX:NUV 0.23119646641474512 0.0012749999877996743 2.828427e-05
SDSS:g' 0.48199694202385923 0.0027099999133497477 0.00041
SDSS:r' 0.6246977662012919 0.0031500000040978193 0.00024
SDSS:i' 0.7634912086792645 0.00570000009611249 0.00057
2MASS:J 1.239016606050587 0.005683333509498172 0.0006847627
2MASS:H 1.6494770729023387 0.008906666499873003 0.0009381898
2MASS:Ks 2.1637853338145083 0.0142000000923872 0.0007937254
WISE:W1 3.350010705106716 0.020650000777095556 0.0008
WISE:W2 4.600019302768061 0.026724999770522118 0.0009539393
WISE:W3 11.559823320737255 0.041800000704824924 0.0012
WISE:W4 22.09066818952177 0.08536666880051295 0.0042178193
:=1.4GHz 214137.47 0.0018999999738298357 0.00043081318
