Filter Wave Flux F_er
SDSS:u' 0.3519021246126397 8.749999688006938e-05 9.2e-06
SDSS:g' 0.48199694202385923 0.0005970000056549907 4e-06
SDSS:r' 0.6246977662012919 0.0013099999632686377 1e-05
SDSS:i' 0.7634912086792645 0.0020800000056624413 1e-05
SDSS:z' 0.9017941824088558 0.0028899998869746923 3e-05
SDSS:u 0.3519021246126397 7.110000296961516e-05 5.9e-06
SDSS:g 0.48199694202385923 0.0004710000066552311 3e-06
SDSS:r 0.6246977662012919 0.0010900000343099236 1e-05
SDSS:i 0.7634912086792645 0.00171999994199723 1e-05
SDSS:z 0.9017941824088558 0.002369999885559082 1e-05
2MASS:J 1.239016606050587 0.0012876000255346298 0.00029329848
2MASS:H 1.6494770729023385 0.0017683999612927437 0.0004158654
2MASS:Ks 2.1637853338145083 0.001230000052601099 0.00031304953
WISE:W1 3.3500107051067163 0.0017800000108157594 6.928203e-05
WISE:W2 4.600019302768061 0.0010300000139977783 5.2915024e-05
WISE:W3 11.559823320737255 0.0019033333131422598 0.00016763054
WISE:W4 22.09066818952177 0.003886666614562273 0.0013597426
"W1 (WISE)" 3.3533831991051453 0.002533333333333333 5.113941728256199e-05
"W2 (WISE)" 4.60510688172043 0.0015233333333333331 5.902728182798188e-05
"W3 (WISE)" 11.574998378378377 0.00337 0.0002718381871628782
"W4 (WISE)" 22.0435630882353 0.005773333333333333 0.0016939176485295854
