Filter Wave Flux F_er
SDSS:u 0.3519021246126397 8.40571431126591e-06 1.7978598e-06
SDSS:g 0.4819969420238593 9.614285772840958e-06 7.415524e-07
SDSS:r 0.6246977662012919 1.6511428449510796e-05 1.0794444e-06
SDSS:i 0.7634912086792643 1.7379999657610563e-05 1.6458432e-06
SDSS:z 0.9017941824088558 2.2033333758978795e-05 4.678675e-06
:=3.6um 3.599986286565157 0.00011800000356743112 6e-06
:=4.5um 4.499969349004068 0.00014899999951012433 1e-05
WISE:W1 3.350010705106716 0.00010871428613817053 1.3892445e-05
WISE:W2 4.600019302768061 0.0001488571392006374 2.433105e-05
WISE:W3 11.559823320737255 0.00021100000594742596 0.00012303657
"W1 (WISE)" 3.3533831991051453 0.00014833333333333332 2.0833314666658302e-05
"W2 (WISE)" 4.60510688172043 0.00013366666666666667 4.661298102460301e-05
"W3 (WISE)" 11.574998378378377 0.000596 0.000182
