Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 4.4200000957062e-06 1.2303658e-06
GALEX:NUV 0.23119646641474512 6.377499857990188e-06 3.2704738e-06
SDSS:u' 0.3519021246126397 1.8200000340584666e-05 1e-06
SDSS:g' 0.48199694202385923 2.6300000172341242e-05 5e-07
SDSS:r' 0.6246977662012919 4.0800001443130895e-05 7e-07
SDSS:i' 0.7634912086792645 6.08000009378884e-05 1.2e-06
SDSS:z' 0.9017941824088558 5.690000034519471e-05 4.1e-06
SDSS:u 0.3519021246126397 1.5754999973675392e-05 2.0016244e-06
SDSS:g 0.4819969420238593 2.4216666740054887e-05 1.0488089e-06
SDSS:r 0.6246977662012919 3.9416667277691886e-05 1.43527e-06
SDSS:i 0.7634912086792643 5.8783332860912196e-05 2.3237899e-06
SDSS:z 0.9017941824088558 5.9050000345450826e-05 7.690253e-06
:=3.6um 3.599986286565157 0.0003589999978430569 1e-05
:=4.5um 4.499969349004068 0.00044299999717622995 1.5e-05
WISE:W1 3.350010705106716 0.0003459999970800709 2.5179355e-05
WISE:W2 4.600019302768061 0.0004526250013441313 3.852272e-05
WISE:W3 11.559823320737253 0.00087466668143558 0.00024483056
WISE:W4 22.09066818952177 0.0013500000350177288 0.0009758074
"W1 (WISE)" 3.3533831991051453 0.0006833333333333332 2.137500643274757e-05
"W2 (WISE)" 4.60510688172043 0.0006203333333333333 4.2344303040668886e-05
"W3 (WISE)" 11.574998378378377 0.000863 0.0002814711352874394
