Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 2.144999962183647e-05 6.808817e-06
GALEX:NUV 0.23119646641474512 3.0100000458332943e-05 6.2506e-06
SDSS:u 0.3519021246126397 4.676000025938265e-05 4.8774996e-06
SDSS:g 0.48199694202385923 9.349999936603126e-05 2.8722814e-06
SDSS:r 0.6246977662012919 0.0001852375007729279 3.9812057e-06
SDSS:i 0.7634912086792645 0.00026760000037029386 5.7148927e-06
SDSS:z 0.9017941824088559 0.00033263333898503333 1.8535371e-05
:=3.6um 3.599986286565157 0.00041599999531172216 6e-06
:=4.5um 4.499969349004068 0.0003490000090096146 6e-06
WISE:W1 3.3500107051067163 0.0002580545445777137 2.6800186e-05
WISE:W2 4.600019302768061 0.0002836666697274066 3.651027e-05
WISE:W3 11.559823320737253 0.0011266666697338223 0.00027856775
WISE:W4 22.090668189521775 0.0026700000744313 0.0010889444
"W1 (WISE)" 3.3533831991051453 0.00039 2.672844926291086e-05
"W2 (WISE)" 4.60510688172043 0.00032766666666666664 5.565482908068266e-05
"W3 (WISE)" 11.574998378378377 0.0012 0.0003630606010020917
