Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 7.98666678747395e-06 4.440034e-06
GALEX:NUV 0.23119646641474512 1.1976666883128928e-05 5.4212546e-06
SDSS:u 0.3519021246126397 7.881666654914928e-05 1.0066777e-05
SDSS:g 0.4819969420238591 7.281249997959094e-05 6.3095167e-06
SDSS:r 0.6246977662012919 8.100625063889311e-05 6.936858e-06
SDSS:i 0.7634912086792646 9.064117565525093e-05 9.834124e-06
SDSS:z 0.9017941824088558 0.0001428625005246431 1.7642278e-05
2MASS:H 1.6494770729023385 0.0003020000003743917 9.8994955e-05
WISE:W1 3.3500107051067163 0.0003047000034712255 3.2171414e-05
WISE:W2 4.600019302768061 0.00044940000225324184 5.4497705e-05
WISE:W3 11.559823320737255 0.001206249973620288 0.00035735135
WISE:W4 22.090668189521775 0.0030671428622944014 0.0026197138
"W1 (WISE)" 3.3533831991051453 0.00034599999999999995 2.3882591986633277e-05
"W2 (WISE)" 4.60510688172043 0.0004326666666666667 6.000749953130858e-05
"W3 (WISE)" 11.574998378378377 0.0015533333333333334 0.00033349662666959617
"W4 (WISE)" 22.0435630882353 0.0037900000000000004 0.0023699156103118946
