Filter Wave Flux F_er
2MASS:J 1.239016606050587 0.0006629999843426049 0.00014990664
2MASS:H 1.6494770729023387 0.0008089999901130795 0.00020329536
2MASS:Ks 2.1637853338145083 0.001019999966956675 0.00021166011
WISE:W1 3.350010705106716 0.0018800000349680583 7.549834e-05
WISE:W2 4.600019302768061 0.0023724999628029764 8.717797e-05
WISE:W3 11.559823320737257 0.005049999803304672 0.00025416532
WISE:W4 22.090668189521768 0.012366666768987974 0.0015588456
:=1.4GHz 214137.47000000003 0.0031999999191612005 0.0005
"W1 (WISE)" 3.3533831991051453 0.0018700000000000001 8.033610645282729e-05
"W2 (WISE)" 4.60510688172043 0.002513333333333333 0.000110592450013552
"W3 (WISE)" 11.574998378378377 0.0051333333333333335 0.0004603140232493466
"W4 (WISE)" 22.0435630882353 0.011603333333333332 0.0022542351252697666
