Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 1.9175000034010736e-05 8.11665e-06
GALEX:NUV 0.23119646641474512 4.354999964562012e-05 8.95377e-06
SDSS:u' 0.3519021246126397 7.960000220919028e-05 2.9e-06
SDSS:g' 0.48199694202385923 0.00017699999443721026 1e-06
SDSS:r' 0.6246977662012919 0.000371000001905486 2e-06
SDSS:i' 0.7634912086792645 0.00056900002527982 3e-06
SDSS:z' 0.9017941824088558 0.0007360000163316727 1.1e-05
2MASS:J 1.239016606050587 0.00045812499593012035 0.00014990664
2MASS:H 1.6494770729023387 0.0008571250073146075 0.00028001427
2MASS:Ks 2.163785333814508 0.000965000013820827 0.00026949027
WISE:W1 3.3500107051067163 0.00046556363072754306 5.243367e-05
WISE:W2 4.600019302768061 0.0005214666614645264 4.845431e-05
WISE:W3 11.559823320737255 0.0019700000411830842 0.00016124516
WISE:W4 22.09066818952177 0.002585000009275973 0.0011521283
"W1 (WISE)" 3.3533831991051453 0.000867 2.8847356897989806e-05
"W2 (WISE)" 4.60510688172043 0.0007906666666666666 3.672846307701971e-05
"W3 (WISE)" 11.574998378378377 0.00221 0.00017508812067070685
"W4 (WISE)" 22.0435630882353 0.0028366666666666666 0.0017664212408143194
"24 microns (MIPS)" 23.60570535433071 0.00249 0.00012351145695845385
