Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 2.832499990290671e-05 5.1884485e-06
GALEX:NUV 0.23119646641474512 3.1325000691140303e-05 5.002e-06
SDSS:u' 0.3519021246126397 2.1400000832727528e-05 4.2924235e-06
SDSS:g' 0.4819969420238593 4.2299999677197775e-05 1.56205e-06
SDSS:r' 0.6246977662012919 0.0001253000009455718 2.5612496e-06
SDSS:i' 0.7634912086792646 0.00020399999630171806 3.6055512e-06
SDSS:z' 0.9017941824088558 0.00024700000358279794 1.3453624e-05
SDSS:u 0.3519021246126397 2.8443999690352938e-05 2.8623417e-06
SDSS:g 0.4819969420238592 4.76413336097418e-05 1.940644e-06
SDSS:r 0.6246977662012919 0.00010907857124818423 3.357082e-06
SDSS:i 0.7634912086792645 0.00017084285640781412 4.509989e-06
SDSS:z 0.9017941824088558 0.0002198866665518532 1.3086252e-05
2MASS:J 1.239016606050587 0.0003209999995306134 0.000118793934
2MASS:H 1.6494770729023387 0.0004529999860096723 0.00021496046
2MASS:Ks 2.163785333814508 0.0006210000137798488 0.00024038718
:=3.6um 3.599986286565157 0.001120000029914081 1e-05
:=4.5um 4.499969349004068 0.001339999958872795 1e-05
WISE:W1 3.350010705106716 0.0008123333261917449 5.8103356e-05
WISE:W2 4.600019302768061 0.0011775000166380778 8e-05
WISE:W3 11.559823320737253 0.0023628571403345893 0.0004439595
WISE:W4 22.090668189521775 0.00809571413057191 0.0029107905
