Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 2.6499999876250513e-05 7.6026313e-06
GALEX:NUV 0.23119646641474514 7.159999950090423e-05 8.451627e-06
SDSS:u' 0.3519021246126397 7.714000093983486e-05 4.695743e-06
SDSS:g' 0.4819969420238593 0.00010980000079143792 2.236068e-06
SDSS:r' 0.6246977662012919 0.00010860000038519502 2.236068e-06
SDSS:i' 0.7634912086792643 0.00011660000163828954 2.236068e-06
SDSS:z' 0.9017941824088558 0.00010004000214394181 1.118034e-05
SDSS:u 0.3519021246126397 7.505555549869314e-05 6.65958e-06
SDSS:g 0.4819969420238593 0.00010737499997048872 4.472136e-06
SDSS:r 0.6246977662012919 0.00010487499912414933 2.8284271e-06
SDSS:i 0.7634912086792645 0.00011375000212865416 5.385165e-06
SDSS:z 0.9017941824088559 9.76999999693362e-05 1.3269137e-05
2MASS:J 1.239016606050587 0.00015700000221841037 6.3639614e-05
:=3.6um 3.599986286565157 0.00042699999175965786 1.1e-05
:=4.5um 4.499969349004068 0.0005699999746866524 1.4e-05
WISE:W1 3.350010705106716 0.00040399999771681096 2.9444864e-05
WISE:W2 4.600019302768061 0.0005946666739570597 4.4810713e-05
WISE:W3 11.559823320737255 0.0011887500440934673 0.00021610183
WISE:W4 22.090668189521775 0.003395714331418276 0.0015445388
"W1 (WISE)" 3.3533831991051453 0.00047133333333333337 1.7441046413561316e-05
"W2 (WISE)" 4.60510688172043 0.0006306666666666666 3.769044971872848e-05
"W3 (WISE)" 11.574998378378377 0.0013966666666666667 0.0002144817940991729
"W4 (WISE)" 22.0435630882353 0.0032966666666666665 0.001458507799087821
