Filter Wave Flux F_er
GALEX:NUV 0.23119646641474512 0.00023700000019744039 3e-06
SDSS:u' 0.3519021246126397 0.000307999987853691 7.0710676e-06
SDSS:g' 0.48199694202385923 0.00027799999224953353 2.8284271e-06
SDSS:r' 0.6246977662012919 0.0003640000068116933 2.8284271e-06
SDSS:i' 0.7634912086792645 0.0005130000063218176 4.242641e-06
SDSS:u 0.35190212461263964 0.00018343987614599655 1.0902589e-05
SDSS:g 0.4819969420238593 0.00016555714111226344 7.34847e-06
SDSS:r 0.6246977662012919 0.00020944285539111922 7.4759614e-06
SDSS:i 0.7634912086792643 0.0003052857157724377 1.2e-05
SDSS:z 0.901794182408856 0.0003128571448282206 1.9519222e-05
2MASS:J 1.239016606050587 0.0006900000153109431 0.00020953284
2MASS:H 1.6494770729023385 0.0009050000226125121 0.00033300754
2MASS:Ks 2.1637853338145083 0.0012199999764561653 0.00036482874
WISE:W1 3.3500107051067167 0.002420000014050553 0.00016124515
WISE:W2 4.600019302768061 0.003122307718373262 0.00020566964
WISE:W3 11.559823320737253 0.004520000051707029 0.00053329166
WISE:W4 22.09066818952177 0.011011111032631662 0.002979933
"W1 (WISE)" 3.3533831991051453 0.0024066666666666668 6.874947272525078e-05
"W2 (WISE)" 4.60510688172043 0.00307 8.723216150021734e-05
"W3 (WISE)" 11.574998378378377 0.004863333333333333 0.0004033360881448621
"W4 (WISE)" 22.0435630882353 0.0096 0.0028263580806401722
