Filter Wave Flux F_er
SDSS:g' 0.48199694202385923 0.0013800000306218863 3e-05
SDSS:r' 0.6246977662012919 0.0021200000774115324 6e-05
SDSS:i' 0.7634912086792645 0.003819999983534217 0.00042
2MASS:J 1.239016606050587 0.003477999963797629 0.00050537114
2MASS:H 1.6494770729023385 0.005534000182524324 0.0009234717
2MASS:Ks 2.1637853338145083 0.007089999970048666 0.0007072482
WISE:W1 3.350010705106717 0.008841307659167796 0.00064826617
WISE:W2 4.600019302768061 0.01368545492137359 0.0009228218
WISE:W3 11.559823320737255 0.04344999883323908 0.0019131126
WISE:W4 22.09066818952177 0.1541249994188547 0.008485282
IRAS:12 11.59021333024047 0.07020000368356705 0.0211
IRAS:25 23.880234028994742 0.15199999511241913 0.03
IRAS:60 61.84986032885642 0.36800000071525574 0.088
IRAS:100 101.94941780588996 0.4399999976158142 0.123
"W1 (WISE)" 3.3533831991051453 0.010833333333333334 0.0002380541955101821
"W2 (WISE)" 4.60510688172043 0.015333333333333332 0.00030560793510640393
"W3 (WISE)" 11.574998378378377 0.04626666666666667 0.0008528874486120662
"W4 (WISE)" 22.0435630882353 0.143 0.003665068212189236
