Filter Wave Flux F_er
SDSS:u' 0.3519021246126397 4.11000019084895e-06 9.5e-07
SDSS:g' 0.48199694202385923 1.2000000424450263e-05 4e-07
SDSS:r' 0.6246977662012919 3.4500000765547156e-05 6e-07
SDSS:i' 0.7634912086792645 7.339999865507707e-05 1.4e-06
SDSS:z' 0.9017941824088558 0.00013800000306218863 5e-06
SDSS:u 0.3519021246126397 5.32333331193513e-06 3.7289408e-06
SDSS:g 0.48199694202385934 2.1199999909268545e-05 1.8616123e-06
SDSS:r 0.6246977662012919 8.085454547571399e-05 3.5860842e-06
SDSS:i 0.7634912086792643 0.00014842000127828213 3.928104e-06
SDSS:z 0.9017941824088561 0.0002306909088722684 1.7707625e-05
2MASS:J 1.239016606050587 0.00019799999427050352 7.6210235e-05
2MASS:H 1.6494770729023387 0.0004020000051241368 0.00013163585
2MASS:Ks 2.163785333814508 0.0005610000225715339 0.000146
WISE:W1 3.3500107051067163 0.0006787300084397429 5.3028292e-05
WISE:W2 4.600019302768061 0.0009608888972757591 7.419569e-05
WISE:W3 11.559823320737253 0.002292857172765902 0.00047296938
WISE:W4 22.090668189521775 0.0085128571039864 0.0035424565
:=1.4GHz 214137.47 0.3436666627724965 0.012083045
1.4GHz 214137.47 0.342 0.012
