Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 0.0007990000012796372 3.679674e-05
GALEX:NUV 0.23119646641474512 0.0007760000007692724 2.3345236e-05
SDSS:g' 0.48199694202385923 0.001449999981559813 6e-05
SDSS:r' 0.6246977662012919 0.0015999999595806003 0.00013
SDSS:u 0.3519021246126397 0.0013049999834038317 2.236068e-05
SDSS:g 0.48199694202385923 0.0012799999676644802 1e-05
SDSS:r 0.6246977662012919 0.0012799999676644802 3e-05
SDSS:i 0.7634912086792645 0.0018649999983608723 2.236068e-05
SDSS:z 0.9017941824088558 0.0017000000225380063 2.236068e-05
2MASS:J 1.239016606050587 0.0013899999903514981 0.00018
2MASS:H 1.649477072902339 0.0021699999924749136 0.00032031236
2MASS:Ks 2.1637853338145083 0.0035699999425560236 0.0003642801
:=3.6um 3.599986286565157 0.00853000022470951 0.00017
:=4.5um 4.499969349004068 0.011099999770522118 0.0002
WISE:W1 3.3500107051067163 0.008230000009967221 0.0004588028
WISE:W2 4.600019302768061 0.011662499862723053 0.00053851644
WISE:W3 11.559823320737253 0.019300000742077827 0.0010246951
WISE:W4 22.090668189521775 0.055216667552789055 0.005204805
:=1.4GHz 214137.47000000006 0.5770000219345093 0.017
"W1 (WISE)" 3.3533831991051453 0.008303333333333334 0.00018148512335726033
"W2 (WISE)" 4.60510688172043 0.011666666666666667 0.00023656994737286476
"W3 (WISE)" 11.574998378378377 0.020166666666666666 0.00051819783866782
"W4 (WISE)" 22.0435630882353 0.05146666666666666 0.002746725322998279
1.4GHz 214137.47 0.224 0.0076
