Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 2.0099999649877038e-05 7.828793e-06
GALEX:NUV 0.23119646641474512 3.126666706521064e-05 7.747258e-06
SDSS:u' 0.3519021246126397 0.00016199999663513154 4e-06
SDSS:g' 0.48199694202385923 0.0004569999873638153 2e-06
SDSS:i' 0.7634912086792645 0.0015399999683722854 1e-05
SDSS:z' 0.9017941824088558 0.002050000010058284 2e-05
SDSS:u 0.3519021246126397 0.00014600000577047467 5e-06
SDSS:g 0.48199694202385923 0.0004180000105407089 4.472136e-06
SDSS:r 0.6246977662012919 0.0009710000013001263 4e-06
SDSS:i 0.7634912086792645 0.0014600000577047467 1e-05
SDSS:z 0.9017941824088558 0.002035000012256205 2.236068e-05
2MASS:J 1.239016606050587 0.0017692307189393502 0.00036510275
2MASS:H 1.6494770729023385 0.002246922992456418 0.0005550676
2MASS:Ks 2.163785333814508 0.002529999939724803 0.000414367
WISE:W1 3.3500107051067163 0.001818799968168605 0.00014104608
WISE:W2 4.600019302768061 0.0020278889052052465 0.00013845577
WISE:W3 11.559823320737253 0.004404000006616116 0.00031032242
WISE:W4 22.09066818952177 0.00968499993905425 0.0015953056
:=1.4GHz 214137.47000000003 0.8119500121101737 0.050000403
1.4GHz 214137.47 1.6 0.048
