Filter Wave Flux F_er
SDSS:g' 0.48199694202385923 0.002309999894350767 4e-05
SDSS:r' 0.6246977662012919 0.0028699999675154686 7e-05
SDSS:i' 0.7634912086792645 0.0032599999103695154 0.00016
2MASS:J 1.239016606050587 0.0028199999127537013 0.00053535035
2MASS:H 1.649477072902339 0.003988999919965863 0.00085387356
2MASS:Ks 2.1637853338145083 0.005429999902844429 0.0005656854
WISE:W1 3.350010705106716 0.008211999945342541 0.00034014703
WISE:W2 4.600019302768061 0.00979199968278408 0.0003601389
WISE:W3 11.559823320737255 0.020450000651180744 0.0006
WISE:W4 22.09066818952177 0.049800001084804535 0.0024372116
