Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 7.114999971236102e-05 1.2010412e-05
GALEX:NUV 0.23119646641474512 3.429999924264848e-05 6.152235e-06
SDSS:u' 0.3519021246126397 0.0001224999978148844 4.242641e-06
SDSS:g' 0.48199694202385923 0.00018350000027567148 2.236068e-06
SDSS:r' 0.6246977662012919 0.00035400000342633575 3.6055512e-06
SDSS:i' 0.7634912086792646 0.0005705000075977296 5.8309515e-06
SDSS:z' 0.9017941824088558 0.000598000013269484 9.433981e-06
SDSS:u 0.3519021246126397 9.483333512131746e-05 6.2321747e-06
SDSS:g 0.4819969420238593 0.00014689999807160348 2.87054e-06
SDSS:r 0.6246977662012919 0.00027533332468010485 3.7416576e-06
SDSS:i 0.7634912086792645 0.0004403333393080781 6.164414e-06
SDSS:z 0.9017941824088558 0.00046966665346796316 1.7029386e-05
2MASS:J 1.239016606050587 0.0009046153863891959 0.00042004287
2MASS:H 1.6494770729023385 0.002308461582288146 0.0005798276
2MASS:Ks 2.163785333814508 0.009994999784976245 0.00087891973
WISE:W1 3.3500107051067163 0.04211249994114041 0.0023979156
WISE:W2 4.600019302768061 0.08590000029653311 0.0040298887
WISE:W3 11.559823320737255 0.15900000504084996 0.0052915034
WISE:W4 22.090668189521775 0.26233332852522534 0.013114877
IRAS:25 23.880234028994742 0.4819999933242798 0.077
IRAS:60 61.849860328856415 1.25 0.14
:=1.4GHz 214137.47000000006 0.004212499945424497 0.00057375955
"W1 (WISE)" 3.3524464998875185 0.041999999999999996 0.0012950918886318451
"W2 (WISE)" 4.60334111987928 0.0854 0.0022390989259074732
"W3 (WISE)" 11.574998378378378 0.16499999999999998 0.003585510981715159
"W4 (WISE)" 22.043563088235295 0.249 0.008349455072039134
"3.6 microns (IRAC)" 3.5520433412322276 0.0526 4.4753770790850685e-05
"4.5 microns (IRAC)" 4.494639550224888 0.08055000000000001 6.038584271168202e-05
"5.8 microns (IRAC)" 5.732169369024856 0.128 0.0001626068879229905
"12 microns (IRAS)" 11.99169832 0.262 0.0367
"25 microns (IRAS)" 24.982704833333333 0.403 0.055
"60 microns (IRAS)" 59.958491599999995 1.17 0.0822
"100 microns (IRAS)" 99.93081933333333 0.713 0.143
"24 microns (MIPS)" 23.60570535433071 0.241 0.00017426749553488166
1.4GHz 214137.47 0.0053 0.0005
