Filter Wave Flux F_er
SDSS:u' 0.3519021246126397 3.96999985241564e-06 2.11e-06
SDSS:g' 0.48199694202385923 1.340000017080456e-05 9e-07
SDSS:r' 0.6246977662012919 6.579999899258837e-05 1.5e-06
SDSS:i' 0.7634912086792645 0.00014000000373926014 3e-06
SDSS:z' 0.9017941824088558 0.0001900000061141327 8e-06
SDSS:u 0.3519021246126397 1.4800000371906208e-06 6e-07
SDSS:g 0.48199694202385923 4.4200000957062e-06 2.8e-07
SDSS:r 0.6246977662012919 1.7099999240599573e-05 5e-07
SDSS:i 0.7634912086792645 3.5400000342633575e-05 1e-06
SDSS:z 0.9017941824088558 5.109999983687885e-05 2.4e-06
WISE:W1 3.350010705106716 0.000305499997921288 1.7406895e-05
WISE:W2 4.600019302768061 0.0003009999927598983 2.1213204e-05
WISE:W3 11.559823320737255 0.00037599999632220715 0.0001719593
WISE:W4 22.09066818952177 0.002519999979995191 0.00137
:=1.4GHz 214137.47000000006 0.2630000114440918 0.01
