Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 1.0300000212737359e-05 3.8e-06
GALEX:NUV 0.23119646641474512 1.4799999917158857e-05 2.6e-06
SDSS:u 0.3519021246126397 1.8650000129127875e-05 2.0518285e-06
SDSS:g 0.48199694202385923 5.855000017618295e-05 1.5556349e-06
SDSS:r 0.6246977662012919 0.00014450000162469223 2.236068e-06
SDSS:i 0.7634912086792645 0.00018950000230688602 4.242641e-06
SDSS:z 0.9017941824088558 0.0002519999979995191 7.810249e-06
2MASS:J 1.239016606050587 0.0003969999961555004 0.00010956733
2MASS:H 1.649477072902339 0.0006670000148005784 0.00018335757
2MASS:Ks 2.163785333814508 0.0008210000232793391 0.00019006578
WISE:W1 3.350010705106716 0.0007585714421501118 4.4609416e-05
WISE:W2 4.600019302768061 0.0008822857302480511 5.2526182e-05
WISE:W3 11.559823320737253 0.002498333303568264 0.00028635643
WISE:W4 22.09066818952177 0.012139999866485595 0.002154066
"W1 (WISE)" 3.3533831991051453 0.0009563333333333333 3.4272437905699095e-05
"W2 (WISE)" 4.60510688172043 0.0010493333333333333 4.2759560334502974e-05
"W3 (WISE)" 11.574998378378377 0.0029566666666666665 0.0002842199852227144
"W4 (WISE)" 22.0435630882353 0.012499999999999999 0.0017608591652940335
"3.6 microns (IRAC)" 3.5520433412322276 0.0005605 1.0259142264341596e-06
"4.5 microns (IRAC)" 4.494639550224888 0.0006505 1.3271024828550356e-06
"5.8 microns (IRAC)" 5.732169369024856 0.0007995000000000001 3.739545426920229e-06
"8.0 microns (IRAC)" 7.86856845144357 0.001385 7.81547823232846e-06
"24 microns (MIPS)" 23.60570535433071 0.010249999999999999 4.246374924568013e-05
