Filter Wave Flux F_er
SDSS:u' 0.3519021246126397 0.000691999972332269 0.000101
SDSS:g' 0.48199694202385923 0.0009315000206697732 4.5276924e-05
SDSS:r' 0.6246977662012919 0.0010429999674670398 7.337575e-05
SDSS:i' 0.7634912086792646 0.0012600000482052565 7e-05
SDSS:z' 0.9017941824088558 0.0011899999808520079 3e-05
SDSS:u 0.3519021246126397 0.000625749999016989 0.00013481469
SDSS:g 0.4819969420238593 0.0009482857089356653 5.9632206e-05
SDSS:r 0.6246977662012919 0.0009747142820352954 4.2261094e-05
SDSS:i 0.7634912086792643 0.0011957143100776843 6.708204e-05
SDSS:z 0.9017941824088559 0.0011542856892836945 8.3666004e-05
2MASS:J 1.239016606050587 0.0014115384815690608 0.0002445404
2MASS:H 1.6494770729023385 0.0015969230399395411 0.0003579106
2MASS:Ks 2.1637853338145083 0.0019072727194394577 0.00033481338
:=3.6um 3.599986286565157 0.0026700000744313 6e-05
:=4.5um 4.499969349004068 0.0034000000450760126 7e-05
WISE:W1 3.3500107051067163 0.002586999977938831 0.00016093477
WISE:W2 4.600019302768061 0.0035610000370070337 0.00021023798
WISE:W3 11.559823320737255 0.010366666751603285 0.00059999997
WISE:W4 22.09066818952177 0.02764999959617853 0.0030903073
