Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 1.739999970595818e-05 3.7e-06
GALEX:NUV 0.23119646641474512 2.0900000890833326e-05 2.7e-06
2MASS:J 1.239016606050587 0.0006600000197067857 0.00012964182
2MASS:H 1.6494770729023387 0.0007489999989047647 0.00019578561
2MASS:Ks 2.1637853338145083 0.0012499999720603228 0.00019595918
WISE:W1 3.3500107051067163 0.001134300024407114 8.189805e-05
WISE:W2 4.600019302768061 0.002903333321834604 0.0001603122
WISE:W3 11.559823320737255 0.011671428302569049 0.00052915025
WISE:W4 22.090668189521775 0.07103333125511806 0.00489898
Herschel/PACS:100 100.00081990726842 0.9490000009536743 0.042
Herschel/PACS:160 160.0002444361424 0.5849999785423279 0.044
Herschel/SPIRE:250 249.99371080720482 0.21799999475479126 0.008
Herschel/SPIRE:350 362.9976001356129 0.07339999824762344 0.0083
Herschel/SPIRE:500 516.9994274578785 0.0142000000923872 0.009
:=1.4GHz 214137.47000000003 0.1314999982714653 0.0041231057
"W1 (WISE)" 3.3533831991051453 0.00132 3.493279261668039e-05
"W2 (WISE)" 4.60510688172043 0.002903333333333333 7.522260298607063e-05
"W3 (WISE)" 11.574998378378377 0.0123 0.0004491035515334965
"W4 (WISE)" 22.0435630882353 0.06526666666666667 0.0026958301133417147
"60 microns (IRAS)" 59.958491599999995 0.686 0.0823
"100 microns (IRAS)" 99.93081933333333 0.929 0.149
1.4GHz 214137.47 0.134 0.004
