Filter Wave Flux F_er
SDSS:u 0.3519021246126397 0.00037900000461377203 4e-06
SDSS:g 0.48199694202385923 0.000450999999884516 2e-06
SDSS:r 0.6246977662012919 0.0007360000163316727 3e-06
2MASS:J 1.239016606050587 0.0014485714491456747 0.0002297825
2MASS:H 1.6494770729023387 0.0022742857025670154 0.00033955852
2MASS:Ks 2.163785333814508 0.0033499998971819878 0.00029068883
WISE:W1 3.3500107051067163 0.003445999976247549 0.00033660067
WISE:W2 4.600019302768061 0.003877833417694395 0.00016577395
WISE:W3 11.559823320737255 0.012524999910965562 0.0006
WISE:W4 22.090668189521768 0.03910000125567118 0.0028879058
:=1.4GHz 214137.47000000003 1.940000057220459 0.06
