Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 2.4850000045262277e-05 4.9497476e-06
GALEX:NUV 0.23119646641474512 2.3550000150862616e-05 3.748333e-06
SDSS:u 0.3519021246126397 5.759999839938246e-05 2.1e-06
SDSS:g 0.48199694202385923 7.000000186963007e-05 8e-07
SDSS:r 0.6246977662012919 0.00012799999967683107 1e-06
SDSS:i 0.7634912086792645 0.00015999999595806003 2e-06
SDSS:z 0.9017941824088558 0.00021100000594742596 6e-06
WISE:W1 3.350010705106716 0.0004942857111538095 3.0967723e-05
WISE:W2 4.600019302768061 0.0006170000082680158 4.486647e-05
WISE:W3 11.559823320737255 0.0011780000058934093 0.00028635643
WISE:W4 22.09066818952177 0.004615000099875033 0.0021211316
:=1.4GHz 214137.47000000006 0.1679999977350235 0.0050990195
"W1 (WISE)" 3.3533831991051453 0.0005416666666666668 5.300924447678914e-05
"W2 (WISE)" 4.60510688172043 0.0006733333333333334 5.8462124490989895e-05
"W3 (WISE)" 11.574998378378377 0.0016733333333333333 0.0003939796949082529
"W4 (WISE)" 22.0435630882353 0.0042450000000000005 0.0019221082175569617
1.4GHz 214137.47 0.167 0.005
