Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 0.00016650000179652125 1.0630146e-05
GALEX:NUV 0.23119646641474512 0.00022900000476511195 8.485282e-06
SDSS:g' 0.48199694202385923 0.0005929999751970172 2.7e-05
SDSS:u 0.3519021246126397 0.00041700000292621553 5e-06
SDSS:g 0.48199694202385923 0.0006750000175088644 2e-06
SDSS:i 0.7634912086792645 0.0018100000452250242 1e-05
SDSS:z 0.9017941824088558 0.002139999996870756 1e-05
2MASS:J 1.239016606050587 0.0015324999500686924 0.00038223027
2MASS:H 1.6494770729023385 0.0022783333940121033 0.0004934572
2MASS:Ks 2.1637853338145083 0.00267999991774559 0.00042000003
WISE:W1 3.3500107051067167 0.0028116666411127276 0.00027849418
WISE:W2 4.600019302768061 0.0041453000216279175 0.0002892404
WISE:W3 11.559823320737253 0.01346666676302751 0.0007348469
WISE:W4 22.09066818952177 0.036859999597072604 0.003182766
"W1 (WISE)" 3.3533831991051453 0.004196666666666667 9.71301189127245e-05
"W2 (WISE)" 4.60510688172043 0.00497 0.00011367396359765063
"W3 (WISE)" 11.574998378378377 0.014566666666666667 0.0004760220583124274
"W4 (WISE)" 22.0435630882353 0.03596666666666667 0.00247002024283203
