Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 0.00011100000119768083 1.9052559e-05
GALEX:NUV 0.23119646641474514 9.773333295015618e-05 8.993331e-06
SDSS:u 0.35190212461263964 0.0001415714297244059 7.6157735e-06
SDSS:g 0.48199694202385934 0.00013483333411083245 7.34847e-06
SDSS:r 0.6246977662012919 0.00014700000368369123 3e-06
SDSS:i 0.7634912086792645 0.00014099999922715747 4.8989796e-06
SDSS:z 0.9017941824088558 0.00019700000120792538 9.797959e-06
2MASS:J 1.239016606050587 0.000224214288339551 0.00015741982
2MASS:H 1.6494770729023385 0.0002514999983499625 0.00022023168
2MASS:Ks 2.1637853338145083 0.00046340000990312545 0.00021788299
:=3.6um 3.599986286565157 0.000944000028539449 2.3e-05
:=4.5um 4.499969349004068 0.0013000000035390258 3e-05
WISE:W1 3.3500107051067167 0.0009011666552396491 7.219418e-05
WISE:W2 4.600019302768061 0.0013799999821155022 0.0001
WISE:W3 11.559823320737253 0.002519090935079889 0.00037523324
WISE:W4 22.09066818952177 0.004420999856665731 0.0023160528
