Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 1.9966666513937525e-05 8.7195185e-06
GALEX:NUV 0.23119646641474512 3.206666709350733e-05 8.430896e-06
SDSS:u' 0.3519021246126397 5.94000011915341e-05 2.2e-06
SDSS:g' 0.48199694202385923 0.00012099999730708078 1e-06
SDSS:r' 0.6246977662012919 0.0001990000018849969 2e-06
SDSS:i' 0.7634912086792645 0.0002840000088326633 3e-06
SDSS:z' 0.9017941824088558 0.0003370000049471855 9e-06
SDSS:u 0.3519021246126397 5.3966666503887005e-05 3.021589e-06
SDSS:g 0.4819969420238593 0.00012099999730708078 1e-06
SDSS:r 0.6246977662012919 0.0002010000025620684 3.4641016e-06
SDSS:i 0.7634912086792643 0.0002789999998640269 3.3166248e-06
SDSS:z 0.9017941824088558 0.00031900001340545714 9e-06
2MASS:J 1.239016606050587 0.00024299999599211982 0.00012170456
2MASS:H 1.6494770729023387 0.00036085715484140176 0.00018293715
2MASS:Ks 2.1637853338145083 0.0008027500080061145 0.0002687006
WISE:W1 3.3500107051067167 0.0031274999879921475 0.00022226112
WISE:W2 4.600019302768061 0.008968333325659236 0.0005664804
WISE:W3 11.559823320737255 0.07163333064979976 0.0029137607
WISE:W4 22.090668189521775 0.2387999951839447 0.012649111
IRAS:12 11.590213330240468 0.07580000162124634 0.0011
Herschel/PACS:100 100.00081990726842 0.8009999990463257 0.041
Herschel/PACS:160 160.0002444361424 0.32899999618530273 0.048
Herschel/SPIRE:250 249.99371080720482 0.1289999932050705 0.007
Herschel/SPIRE:350 362.9976001356129 0.038600001484155655 0.008
:=250um 249.99371080720482 0.13099999725818634 0.014
:=350um 349.99995096608495 0.04050000011920929 0.016
:=1.4GHz 214137.4700000001 0.013007499976083636 0.0011853271
"W1 (WISE)" 3.3524464998875185 0.003145 0.00010074343651077225
"W2 (WISE)" 4.60334111987928 0.0090925 0.00026722277223320616
"W3 (WISE)" 11.574998378378378 0.07495 0.001631117714942732
"W4 (WISE)" 22.043563088235295 0.22849999999999998 0.006454494558057974
"25 microns (IRAS)" 24.982704833333333 0.319 0.0363
"60 microns (IRAS)" 59.958491599999995 0.896 0.0627
"250 microns (SPIRE)" 249.82704833333332 0.117 0.00645
1.4GHz 214137.47 0.0151 0.0007
