Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 6.429999909111454e-06 2.7990532e-06
GALEX:NUV 0.23119646641474512 7.3033332531243405e-06 3.3974695e-06
SDSS:u 0.3519021246126397 3.680000008898787e-05 3.849675e-06
SDSS:g 0.48199694202385923 0.00011895714617691868 2.887906e-06
SDSS:r 0.6246977662012919 0.00026877500204136595 3.905125e-06
SDSS:i 0.7634912086792645 0.0003865375001623761 5.8728187e-06
SDSS:z 0.9017941824088558 0.0005051249972893856 1.6217275e-05
2MASS:J 1.239016606050587 0.00032500000088475645 0.00012492397
2MASS:H 1.6494770729023385 0.00038300000596791506 0.00016901479
2MASS:Ks 2.163785333814508 0.0006050000083632767 0.00026722086
WISE:W1 3.350010705106716 0.0004199999966658652 1.9874607e-05
WISE:W2 4.600019302768061 0.0002775000029942021 2.4474477e-05
WISE:W3 11.559823320737257 0.000340000008388112 0.00020855217
