Filter Wave Flux F_er
GALEX:FUV 0.15290072831131737 7.004555426546075e-06 3.1907707e-06
GALEX:NUV 0.23119646641474512 7.615666491902731e-06 3.4133586e-06
SDSS:g' 0.48199694202385923 3.060000017285347e-05 3e-07
SDSS:r' 0.6246977662012919 4.5900000259280205e-05 4e-07
SDSS:u 0.3519021246126397 1.82999992830446e-05 1.3e-06
SDSS:g 0.48199694202385923 2.390000008745119e-05 7e-07
SDSS:r 0.6246977662012919 2.970000059576705e-05 9e-07
SDSS:i 0.7634912086792643 3.980000110459514e-05 1e-06
SDSS:z 0.9017941824088558 6.130000110715628e-05 3.6e-06
WISE:W1 3.3500107051067163 0.0001990000018849969 1.3856406e-05
WISE:W2 4.600019302768061 0.00020420000073499977 2.2338309e-05
WISE:W3 11.559823320737257 0.00027499998880860704 0.000187462
Spitzer/MIPS:24 23.674678828081813 0.0007580000092275441 1.4e-05
Herschel/SPIRE:250 249.99371080720482 0.008299999870359898 0.0013
Herschel/SPIRE:350 362.9976001356129 0.009600000455975533 0.0012
Herschel/SPIRE:500 516.9994274578785 0.003100000089034438 0.0015
:=20cm 199994.96864576385 4.439999975147657e-05 7.6e-06
"W1 (WISE)" 3.3533831991051453 0.0002953333333333334 2.8611083516707297e-05
"W2 (WISE)" 4.60510688172043 0.000247 3.301772251382581e-05
"W3 (WISE)" 11.574998378378377 0.000295 0.00012
"3.6 microns (IRAC)" 3.5520433412322276 0.00020166666666666664 1.7948660117122948e-06
"4.5 microns (IRAC)" 4.494639550224888 0.000211 1.16107277980323e-06
"5.8 microns (IRAC)" 5.732169369024856 0.00023349999999999998 3.332866633995426e-06
"8.0 microns (IRAC)" 7.868568451443569 0.000274 6.901478102551656e-06
"24 microns (MIPS)" 23.60570535433071 0.0007933333333333334 2.2589300564647857e-05
