Filter Wave Flux F_er
SDSS:u 0.3519021246126397 2.080000058413134e-06 1.69e-06
SDSS:g 0.48199694202385923 4.580000222631497e-06 8.6e-07
SDSS:r 0.6246977662012919 1.2900000001536682e-05 1.3e-06
SDSS:i 0.7634912086792645 4.289999924367294e-05 2e-06
SDSS:z 0.9017941824088558 6.730000313837081e-05 6.8e-06
WISE:W1 3.350010705106716 0.0001618500023141678 1.1579724e-05
WISE:W2 4.600019302768061 0.00016200000148576996 1.5524176e-05
WISE:W3 11.559823320737255 0.00018699999782256782 9.3e-05
"W1 (WISE)" 3.3533831991051453 0.00039433333333333334 2.9045213030721604e-05
"W2 (WISE)" 4.60510688172043 0.00031133333333333333 3.0329028998634295e-05
