Filter Wave Flux F_er
SDSS:u 0.3519021246126397 7.310000000870787e-06 1.03e-06
SDSS:g 0.48199694202385923 1.8999999156221747e-05 5e-07
SDSS:r 0.6246977662012919 5.089999831398018e-05 1.2e-06
SDSS:i 0.7634912086792645 6.630000279983506e-05 1.5e-06
SDSS:z 0.9017941824088558 8.230000094044954e-05 3.3e-06
WISE:W1 3.3500107051067163 0.00024299999931827189 1.6643316e-05
WISE:W2 4.600019302768061 0.00036620000028051434 2.9478806e-05
WISE:W3 11.559823320737255 0.001472500036470592 0.00023065125
WISE:W4 22.09066818952177 0.005342500167898834 0.001778567
Spitzer/MIPS:24 23.674678828081813 0.0047599999234080315 2e-05
"W1 (WISE)" 3.3533831991051453 0.00033999999999999997 2.2499582218343523e-05
"W2 (WISE)" 4.60510688172043 0.00041833333333333333 6.311172632720483e-05
"W3 (WISE)" 11.574998378378377 0.0016700000000000003 0.00026795522013948526
"W4 (WISE)" 22.0435630882353 0.006103333333333333 0.0022862143381581703
"3.6 microns (IRAC)" 3.5520433412322276 0.0002735 1.5761345120261787e-06
"4.5 microns (IRAC)" 4.494639550224888 0.000307 2.3e-06
"5.8 microns (IRAC)" 5.732169369024856 0.0004595 7.476215620218561e-06
"8.0 microns (IRAC)" 7.86856845144357 0.0009165 1.1741230770238698e-05
"24 microns (MIPS)" 23.60570535433071 0.004515 6.816868782659675e-05
