Filter Wave Flux F_er
GALEX:FUV 0.15290072831131737 1.2692727316541344e-05 5.5524856e-06
GALEX:NUV 0.23119646641474514 2.7249999584455507e-05 5.9287436e-06
SDSS:u' 0.3519021246126397 7.26571407929961e-05 6.9375787e-06
SDSS:g' 0.48199694202385934 0.00013580000146854823 4.489989e-06
SDSS:r' 0.6246977662012919 0.0002899499898679399 6.755739e-06
SDSS:i' 0.7634912086792643 0.0004239999907440506 9e-06
SDSS:z' 0.9017941824088558 0.0005718571503946025 2.9154759e-05
SDSS:u 0.3519021246126397 3.95500010199612e-05 1.640122e-06
SDSS:g 0.4819969420238593 8.260000140580814e-05 1.2806248e-06
SDSS:r 0.6246977662012919 0.0001842499987105839 2.147091e-06
SDSS:i 0.7634912086792645 0.0002705000079004094 2.8284271e-06
SDSS:z 0.9017941824088558 0.00017299999308306724 6e-06
2MASS:H 1.649477072902339 0.0005099999834783375 0.00018634109
2MASS:Ks 2.163785333814508 0.0006089999806135893 0.00025597657
WISE:W1 3.350010705106716 0.0006204999954206869 3.9242834e-05
WISE:W2 4.600019302768061 0.0005785000127313348 4.785394e-05
WISE:W3 11.559823320737255 0.002269999939016998 0.00027018512
WISE:W4 22.09066818952177 0.0044750000815838575 0.002028004
Spitzer/MIPS:24 23.674678828081813 0.0030568571694727454 0.0011361395
Spitzer/MIPS:70 71.41996807699637 0.029450000263750553 0.0044418466
Spitzer/MIPS:160 155.8983140925637 0.12600000202655792 0.029546574
Herschel/PACS:100 100.00081990726842 0.050140001252293585 0.009541489
Herschel/PACS:160 160.0002444361424 0.1085750013589859 0.011614216
Herschel/SPIRE:250 249.99371080720482 0.08819999918341637 0.0009899494
Herschel/SPIRE:350 362.9976001356129 0.04130000062286854 0.0016643316
Herschel/SPIRE:500 516.9994274578785 0.016599999740719795 0.0018439089
:=250um 249.99371080720482 0.08389999717473984 0.0825
:=350um 349.99995096608495 0.03889999911189079 0.0367
:=500um 499.99576043629816 0.01759999990463257 0.0134
:=1.4GHz 214137.47000000003 0.0004320000152802095 0.00011735416
:=20cm 199994.96864576385 0.0003799999976763502 8.246211e-05
