Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 1.5700000100575078e-05 4.8497423e-06
GALEX:NUV 0.23119646641474512 1.9266666034430575e-05 4.215448e-06
SDSS:u 0.3519021246126397 2.366666679639214e-05 1.7916473e-06
SDSS:g 0.48199694202385923 3.215000106138177e-05 8.602325e-07
SDSS:r 0.6246977662012919 3.370000013092067e-05 1e-06
SDSS:i 0.7634912086792643 4.260000059730373e-05 1.4142136e-06
SDSS:z 0.9017941824088558 5.219999911787454e-05 4.7423623e-06
:=3.6um 3.599986286565157 0.00016900000628083944 7e-06
:=4.5um 4.499969349004068 0.00021899999410379678 1.2e-05
WISE:W1 3.350010705106716 0.0001676666700708059 1.6248076e-05
WISE:W2 4.600019302768061 0.00023249999503605068 3.0430247e-05
WISE:W3 11.559823320737255 0.00026000000070780516 0.000127
WISE:W4 22.09066818952177 0.0020800000056624413 9e-05
