Filter Wave Flux F_er
SDSS:u 0.3519021246126397 8.353750035894336e-05 6.1489836e-06
SDSS:g 0.4819969420238593 9.619999868196569e-05 4.9959986e-06
SDSS:r 0.6246977662012919 9.775714196231482e-05 4.4102153e-06
SDSS:i 0.7634912086792643 0.00010371428444549175 5e-06
SDSS:z 0.9017941824088558 0.00011185714434499719 1.0583005e-05
2MASS:H 1.6494770729023385 0.00023499999952036887 0.00010161693
2MASS:Ks 2.163785333814508 0.00037850000080652535 0.00012091733
WISE:W1 3.350010705106716 0.0004065000005842497 2.5690466e-05
WISE:W2 4.600019302768061 0.0006005000129031638 3.9242834e-05
WISE:W3 11.559823320737253 0.0015519999898970128 0.00022912878
WISE:W4 22.09066818952177 0.005319999996572733 0.0014070537
"W1 (WISE)" 3.3533831991051453 0.0006933333333333332 3.264123159441139e-05
"W2 (WISE)" 4.60510688172043 0.0007096666666666667 3.917358804092369e-05
"W3 (WISE)" 11.574998378378377 0.001996666666666667 0.00028447319733148854
"W4 (WISE)" 22.0435630882353 0.00596 0.001851404871982355
