Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 0.00018399999680696055 2.9051678e-05
GALEX:NUV 0.23119646641474514 0.00018899999849963933 1.7029388e-05
SDSS:u 0.3519021246126397 0.0002608888898976147 2.5337718e-05
SDSS:g 0.4819969420238593 0.0002684999999473803 1.1532563e-05
SDSS:r 0.6246977662012919 0.000280250002106186 1.3379087e-05
SDSS:i 0.7634912086792645 0.0002682499944057781 8.602326e-06
SDSS:z 0.901794182408856 0.0003963750059483573 2.50998e-05
2MASS:J 1.239016606050587 0.00030899999546818435 0.0001125833
2MASS:H 1.6494770729023385 0.0003193333395756781 0.00011893696
2MASS:Ks 2.163785333814508 0.000305499997921288 0.00010394711
:=3.6um 3.599986286565157 0.0004490000137593597 1.2e-05
:=4.5um 4.499969349004068 0.0006290000164881349 1.7e-05
WISE:W1 3.3500107051067163 0.00042560000729281456 3.7389837e-05
WISE:W2 4.600019302768061 0.0006671000039204956 6.1326995e-05
WISE:W3 11.559823320737255 0.0013577777685390578 0.00043081318
WISE:W4 22.09066818952177 0.0026149998884648085 0.002544563
"W1 (WISE)" 3.3533831991051453 0.00048 2.060782618327319e-05
"W2 (WISE)" 4.60510688172043 0.0006756666666666665 4.561775969948546e-05
"W3 (WISE)" 11.574998378378377 0.0015233333333333334 0.00033888198535773483
"W4 (WISE)" 22.0435630882353 0.003186666666666667 0.0019576771950451893
