Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 1.7899999875226058e-05 5.0229473e-06
GALEX:NUV 0.23119646641474512 6.586666374156873e-05 7.565051e-06
SDSS:u 0.3519021246126397 0.00016649999815854244 3.1622778e-06
SDSS:g 0.4819969420238593 0.0002739999908953905 2e-06
SDSS:r 0.6246977662012919 0.0003640000068116933 2e-06
SDSS:i 0.7634912086792643 0.0004490000137593597 2e-06
SDSS:z 0.9017941824088558 0.0004444999940460548 7.071068e-06
2MASS:J 1.239016606050587 0.0004799999878741801 0.000174
2MASS:H 1.6494770729023387 0.0005530000198632479 0.00018
2MASS:Ks 2.163785333814508 0.0008459999808110297 0.00025399216
:=3.6um 3.599986286565157 0.0012199999764561653 1e-05
:=4.5um 4.499969349004068 0.0014799999771639705 1e-05
WISE:W1 3.3500107051067167 0.0010790909238328988 7.483315e-05
WISE:W2 4.600019302768061 0.0014700000271356355 0.00012727921
WISE:W3 11.559823320737255 0.004691000003367663 0.00048785246
WISE:W4 22.09066818952177 0.01276666639993588 0.0029034463
Herschel/SPIRE:250 249.99371080720482 0.03519999980926514 0.0099
Herschel/SPIRE:350 362.9976001356129 0.010200000368058681 0.0099
"W1 (WISE)" 3.3533831991051453 0.0010866666666666666 3.915686402152246e-05
"W2 (WISE)" 4.60510688172043 0.0015166666666666668 5.173644750077067e-05
"W3 (WISE)" 11.574998378378377 0.004866666666666667 0.0003283686952192611
"W4 (WISE)" 22.0435630882353 0.011006666666666666 0.0018534276354905254
