Filter Wave Flux F_er
SDSS:u 0.3519021246126397 1.4199999895936344e-06 2.5e-07
SDSS:g 0.48199694202385923 2.640000047904323e-06 1e-07
SDSS:r 0.6246977662012919 2.640000047904323e-06 1.3e-07
SDSS:i 0.7634912086792645 2.7000000955013093e-06 6.3e-07
WISE:W1 3.350010705106716 4.354999873612542e-05 7.5272837e-06
WISE:W2 4.600019302768061 4.549999994196696e-05 1.4549914e-05
"3.6 microns (IRAC)" 3.5520433412322276 1.9e-05 5.997666212786437e-07
"4.5 microns (IRAC)" 4.494639550224888 3.35e-05 1.2631013419357926e-06
"5.8 microns (IRAC)" 5.732169369024856 5.68e-05 3.862913408296904e-06
"8.0 microns (IRAC)" 7.86856845144357 7.605e-05 8.374019345571159e-06
