Filter Wave Flux F_er
GALEX:NUV 0.23119646641474512 2.390000020113803e-07 5.4e-08
2MASS:Ks 2.1637853338145083 3.1445999866264174e-06 1.611428e-07
:=3.6um 3.599986286565156 1.5039181582985542e-05 1.7399773e-06
:=4.5um 4.499969349004068 1.176709080849295e-05 1.4366664e-06
:=5.8um 5.800039815817985 5.077624940952319e-06 1.6582549e-06
:=8um 8.00001222180712 4.861249948362456e-06 1.5342907e-06
WISE:W1 3.350010705106716 6.816666670298825e-05 6.9224275e-06
WISE:W2 4.600019302768061 4.5699999949041135e-05 1.3106487e-05
Spitzer/MIPS:24 23.674678828081813 0.00018466666369931772 1.7492855e-05
Herschel/PACS:100 100.00081990726842 0.002299999981187284 0.0008661986
Herschel/PACS:160 160.0002444361424 0.006344000156968832 0.0020435753
Herschel/SPIRE:250 249.99371080720482 0.007819999940693378 0.0031083275
Herschel/SPIRE:350 362.9976001356129 0.01204000017605722 0.00218
:=1.4GHz 214137.47000000006 3.0399999559449498e-05 1.0245974e-05
:=20cm 199994.96864576385 3.060000017285347e-05 5.1e-06
"3.6 microns (IRAC)" 3.5520433412322276 5.495e-05 5.304827989671296e-08
"4.5 microns (IRAC)" 4.494639550224888 4.5900000000000004e-05 6.272615084635753e-08
"5.8 microns (IRAC)" 5.732169369024856 3.505e-05 2.026079958935481e-07
"8.0 microns (IRAC)" 7.86856845144357 3.735e-05 2.6400757564888175e-07
