Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 1.3500000022759195e-05 4.3829214e-06
GALEX:NUV 0.23119646641474514 3.119999989091108e-05 5.7349803e-06
SDSS:u' 0.3519021246126397 4.7199999244185165e-05 1.5e-06
SDSS:g' 0.48199694202385923 6.169999687699601e-05 1.4e-06
SDSS:r' 0.6246977662012919 6.320000102277845e-05 1.2e-06
SDSS:i' 0.7634912086792645 7.139999797800556e-05 1.3e-06
SDSS:z' 0.9017941824088558 7.000000186963007e-05 3.1e-06
SDSS:u 0.3519021246126397 4.607142909662798e-05 3.7067507e-06
SDSS:g 0.4819969420238593 6.246666574346212e-05 3.1874754e-06
SDSS:r 0.6246977662012919 6.385000112156074e-05 2.8000002e-06
SDSS:i 0.7634912086792643 7.203333249587256e-05 3.108054e-06
SDSS:z 0.9017941824088558 7.171666463060926e-05 7.879721e-06
2MASS:Ks 2.163785333814508 0.00020599999697878957 5.6e-05
WISE:W1 3.3500107051067163 0.00019420000171521679 2.0420577e-05
WISE:W2 4.600019302768061 0.0002580999964266084 3.274141e-05
WISE:W3 11.559823320737253 0.0003011428634636104 0.00024401024
WISE:W4 22.090668189521775 0.0021899999119341373 8e-05
Spitzer/MIPS:24 23.674678828081813 0.0012000000569969416 8e-05
Spitzer/MIPS:70 71.41996807699637 0.010499999858438969 0.0011
"W1 (WISE)" 3.3533831991051453 0.00031466666666666665 2.5523322667709232e-05
"W2 (WISE)" 4.60510688172043 0.00030966666666666664 3.669359617153925e-05
"W3 (WISE)" 11.574998378378377 0.00032933333333333333 0.00024006040906405203
"3.6 microns (IRAC)" 3.5520433412322276 0.0002095 9.223448378995787e-07
"4.5 microns (IRAC)" 4.494639550224888 0.000254 1.3349790260524695e-06
"5.8 microns (IRAC)" 5.732169369024856 0.0003145 3.5446861638232517e-06
"8.0 microns (IRAC)" 7.86856845144357 0.0003735 6.3025867705252575e-06
