Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 3.629999870706039e-05 1.0355192e-05
GALEX:NUV 0.23119646641474512 4.336666582579104e-05 8.084554e-06
SDSS:u' 0.3519021246126397 0.00014699999883305281 8.485282e-06
SDSS:g' 0.48199694202385923 0.00025499999173916876 2.8284271e-06
SDSS:r' 0.6246977662012919 0.00046499999007210135 4.242641e-06
SDSS:i' 0.7634912086792645 0.0007089999853633344 7.0710676e-06
2MASS:J 1.239016606050587 0.0005239999736659229 0.00014696938
2MASS:H 1.6494770729023385 0.0007159999804571271 0.00023270154
2MASS:Ks 2.163785333814508 0.0007890000124461949 0.00022780255
WISE:W1 3.350010705106716 0.0006145874858702882 4.460101e-05
WISE:W2 4.600019302768061 0.0008151666649306814 5.0109877e-05
WISE:W3 11.559823320737255 0.0023060000035911798 0.00027367866
WISE:W4 22.09066818952177 0.006553999986499548 0.001979899
