Filter Wave Flux F_er
WISE:W1 3.350010705106716 7.313333238319804e-05 6.8102863e-06
WISE:W2 4.600019302768061 4.986666560095424e-05 1.1807201e-05
WISE:W4 22.09066818952177 0.0017399999778717756 0.00081
Spitzer/MIPS:24 23.674678828081813 0.0005600000149570405 2.8999999e-05
"W1 (WISE)" 3.3533831991051453 0.00014083333333333333 1.681193920997813e-05
"W2 (WISE)" 4.60510688172043 5.595e-05 1.9539501017170318e-05
"W3 (WISE)" 11.574998378378377 0.000433 0.00021333541665649426
"W4 (WISE)" 22.0435630882353 0.0021100000000000003 0.0016170247369783803
"4.5 microns (IRAC)" 4.494639550224888 5.41e-05 1.6754951506942655e-07
"5.8 microns (IRAC)" 5.732169369024856 6.610000000000001e-05 8.496875896469243e-07
"8.0 microns (IRAC)" 7.86856845144357 9.425e-05 1.0588054589961273e-06
"24 microns (MIPS)" 23.60570535433071 0.0005924999999999999 2.5339692184397188e-05
