Filter Wave Flux F_er
GALEX:FUV 0.15290072831131737 1.881750035437335e-05 7.717036e-06
GALEX:NUV 0.23119646641474512 2.3598750381381706e-05 4.1209987e-06
SDSS:u' 0.3519021246126397 8.630000229459256e-05 3.6769552e-06
SDSS:g' 0.48199694202385923 0.00010699999984353781 1.4142136e-06
SDSS:r' 0.6246977662012919 0.00011700000322889537 1.4142136e-06
SDSS:i' 0.7634912086792645 0.00015199999324977398 2.8284271e-06
WISE:W1 3.3500107051067163 0.00051987777179521 3.0444047e-05
WISE:W2 4.600019302768061 0.0006371333288876081 3.720766e-05
WISE:W3 11.559823320737255 0.0014219999546185135 0.00014866069
WISE:W4 22.09066818952177 0.0038300000014714897 0.0008784646
Spitzer/MIPS:24 23.674678828081813 0.003650000086054206 2e-05
Herschel/SPIRE:250 249.99371080720482 0.01119999960064888 0.0017
Herschel/SPIRE:350 362.9976001356129 0.0024999999441206455 0.0016
Herschel/SPIRE:500 516.9994274578785 0.0034000000450760126 0.002
"W1 (WISE)" 3.3533831991051453 0.0006643333333333333 2.102042102337629e-05
"W2 (WISE)" 4.60510688172043 0.0007586666666666667 3.079756483879854e-05
"W3 (WISE)" 11.574998378378377 0.0016 0.00012419186768866954
"W4 (WISE)" 22.0435630882353 0.0033333333333333335 0.0008255525422406499
"3.6 microns (IRAC)" 3.5520433412322276 0.0007385 2.2274873737015886e-06
"4.5 microns (IRAC)" 4.494639550224888 0.0008485000000000001 2.844819853699e-06
"5.8 microns (IRAC)" 5.732169369024856 0.000992 9.04085172978741e-06
"8.0 microns (IRAC)" 7.86856845144357 0.00122 9.228309704382488e-06
"24 microns (MIPS)" 23.60570535433071 0.00349 5.732032798231357e-05
