Filter Wave Flux F_er
2MASS:J 1.239016606050587 0.0794285714094128 0.0048948955
2MASS:H 1.6494770729023385 0.12921428653810704 0.00835464
2MASS:Ks 2.1637853338145083 0.08537142830235618 0.009195651
WISE:W1 3.350010705106716 0.09687999784946441 0.0033615474
WISE:W2 4.600019302768061 0.06356000006198884 0.0034
WISE:W3 11.559823320737253 0.2393999993801117 0.0117047
WISE:W4 22.090668189521775 0.5354000091552734 0.020639768
IRAS:12 11.590213330240472 0.6076666712760925 0.043566044
IRAS:25 23.880234028994746 0.7493333419164022 0.044294465
IRAS:60 61.84986032885643 7.429999987284343 0.53935146
IRAS:100 101.94941780588998 19.5 1.3453624
Herschel/PACS:70 69.99917297095358 7.619999885559082 0.39
Herschel/PACS:160 160.0002444361424 22.200000762939453 1.1
:=250um 249.99371080720482 11.899999618530273 0.8
:=350um 349.99995096608495 5.489999771118164 0.38
:=500um 499.99576043629816 2.109999895095825 0.18
"W1 (WISE)" 3.3533831991051453 0.08723333333333333 0.0014564916752250936
"W2 (WISE)" 4.60510688172043 0.0573 0.0008767103284437797
"W3 (WISE)" 11.574998378378377 0.19566666666666666 0.002738469645623263
"W4 (WISE)" 22.0435630882353 0.45 0.008433700255522484
"12 microns (IRAS)" 11.99169832 0.596 0.02576606295109907
"25 microns (IRAS)" 24.982704833333333 0.759 0.023048861143232218
"60 microns (IRAS)" 59.958491599999995 7.18 0.2761340254296815
"100 microns (IRAS)" 99.93081933333333 18.9 0.5666833330882426
